Sample,Class,1-Methylhistidine,2-Hydroxybutyrate,Butyrate,Acetic acid,Betaine,Acetoacetate,L-Carnitine,Creatine,Dimethylamine,Dimethylglycine,Citric acid,Choline,Ethanol,D-Glucose,Glycine,Glycerol,Formate,L-Glutamic acid,Hypoxanthine,Tyrosine,L-Phenylalanine,L-Alanine,L-Proline,L-Threonine,L-Asparagine,D-Mannose,Isoleucine,L-Histidine,L-Lysine,L-Serine,L-Lactic acid,L-Aspartate,L-Acetylcarnitine,Oxoglutarate,L-Ornithine,Pyruvic acid,Succinate,Sarcosine,Urea,3-Hydroxybutyric acid,2-hydroxyisovalerate,L-Alpha-aminobutyric acid,3-Methyl-2-oxovaleric acid,L-arginine,Creatinine,L-Glutamine,L-Leucine,Malonate,Ketoleucine,Methionine,Hippuric acid,3-Hydroxyisovaleric acid,Isopropanol,Valine,Tryptophan,Acetone,Isobutyric acid,Methanol,Propylene glycol,Dimethyl sulfone
S1,Not_Pregnant,118.5,5,7.3,437.3,215,18.5,56.4,214.3,1.8,0.4,198.2,9,27,3597.7,660.3,181.8,40.4,67.7,5.2,61.3,37.1,181.9,65.7,91.1,44.3,33.2,54.5,69.9,162,102.1,1806.2,14.9,11.7,14.3,139.1,82,3.5,5.6,1317.5,389.2,0,16.9,0,163,72,209.8,82.4,9.8,0.2,31.4,41.9,1.9,5.2,165.5,0,7,12.4,141.8,9,141.2
S2,Not_Pregnant,109.4,68.9,26.6,776.4,200.7,37,34.2,181,1.5,0.4,176.1,6.3,12.2,3663.7,405.9,100.1,35.5,93.8,3.6,49.7,40.2,115.8,55.6,36.3,32.6,34.3,56.8,53.6,124.4,62.3,1470.6,21,17.9,23.8,109.8,61.3,2.8,14.8,1331.3,850.2,2.8,0,1.3,101.6,74.9,97.7,72.1,14.1,0.3,20.7,48.4,3.6,3.4,151.1,0.2,19.2,20.7,144.9,31.1,91.6
S3,Pregnant,110,5.2,3.9,92.2,406.7,10.3,43.9,281,1.4,2.7,129.8,11.4,18.2,4431.9,641,267.1,21.5,71.3,6.5,65.3,39.8,231.9,65.4,140.6,36.7,44,53.8,52.2,160.2,44.4,3234.5,24.8,11.5,17.3,160.3,108.5,15.8,103.4,2935.8,226.3,1.5,19.1,1.3,154.6,98,215.9,97.5,17.6,0.9,38.7,,2.9,5.4,166.1,0.8,3,10,134.1,0,23.4
S4,Pregnant,81.2,2.3,11.8,466.5,278.5,11.4,38.1,191.6,2.3,0.9,189.9,7.7,7.6,4546.4,450.7,193.2,27.7,91.8,8.5,68.1,37,207,80.2,116.9,45.3,52.7,60.1,67.6,180.8,68.5,3476.9,6,5.2,17,91,121.4,4.3,4.8,1163.9,288.4,1.3,0,0,194.8,93.9,252.3,101.6,11.7,0.1,40,26.6,2.9,8.2,196.7,0,6,11.3,236.8,0,59.7
S5,Not_Pregnant,111.2,19.5,19,443.7,193.1,16,28,176.6,2.9,0.7,211.1,4.8,12.4,2632.3,503.9,116,36.4,79.1,5.7,56.1,34.2,146.3,60.7,77.6,40.9,25.5,45.1,52.7,132.6,75.4,2825,11.1,8.6,20,107.6,63.3,2.7,100.6,1428.8,553.6,1,0,1.1,127,72,269.8,70.5,9.2,0.8,28.6,48,2.4,2.9,137.5,0,14.4,16.1,125.6,12.6,69.7
S6,Not_Pregnant,101.2,38.1,0,1246.6,178.3,37.6,16.7,158.7,3,0.3,216.8,5.3,41.2,2956.7,307.9,135.5,31.6,76.6,4.8,62.3,29.8,108.4,36.6,46.6,36.5,25,52.4,49.2,128.1,70.5,1802.6,11.9,11.8,20.4,112.9,50.9,1.7,47.4,1679,1024.5,3.8,0,0,99.7,66.1,347.4,62.3,8.2,1.3,24.6,36.6,3.6,3.1,114.2,0,25.5,39.8,136.8,67.1,80.1
S7,Pregnant,14,10.4,0,61.5,64.4,0.3,6.4,41.6,0.5,0.1,35.4,1.8,4.3,596.4,120.6,113.8,9.4,2.9,1.5,9.1,6.5,33.6,23.8,41.4,6.6,1.6,10.3,13.3,35.1,12.4,347.2,0,0.8,0.4,14.6,10.3,0.8,0.4,492,38,0,0,,17.9,19.6,50,14.8,1.5,,4.2,5,0.7,2.4,35.8,0,1.6,1.5,73.7,0,14.7
S8,Pregnant,54.4,10.4,0.3,56.5,152.3,14.7,29,183.6,0.9,1.8,36.5,4.5,7.4,2671.9,343.5,192.1,13.5,26,2.9,37.4,27.1,124.6,29.5,47.5,18.7,45.1,42.9,37.9,83.2,31.7,1737.5,3.3,11.3,13.5,60.6,60.7,1.8,2.6,2141.6,229.7,0.9,0,1.2,86.3,67.4,121.2,68.4,6.4,1,22.4,4.7,1.7,5.4,121.1,1,4.6,7.7,140.1,0,11.8
S9,Pregnant,128.2,10.1,2.7,106.5,427.6,11.3,47.3,220.2,1.1,2,152.2,9.7,14.3,3952.5,591.4,122.8,16.7,63.6,4,79.5,47.7,198,78.4,0,26.8,46.7,76.2,68.7,151.8,77.7,2533.6,24.4,14.8,15,109.8,82.9,14.9,4.3,2518.4,222.9,1.9,0,1.6,94,132.7,231.4,165,11.9,0.1,43.6,8.5,2.2,5.9,296.9,0,3.3,12.5,129.1,0,40.1
S10,Pregnant,100.6,7.4,6,106.7,242.3,8.1,32.2,263,1.2,0.9,85.8,8,7.1,3742.6,622.9,319.4,16,28.8,3.3,53.7,35.7,192.5,58.1,101.4,33.1,45.8,66.5,56.2,146.4,19.8,4255.5,15.6,11.1,11.8,116.8,105.7,11.1,4.4,2935.9,171,1.2,18.9,1.3,114.9,97.9,156.8,115.1,16.9,0.4,34.8,13,2.2,5.7,194.3,0,4.2,9.8,135.2,0,25.9
