"","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatine..132.1...90.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"1","-0.703110344","-1.758463760"," 0.026314253"," 0.0978901597","-1.5234471596","-0.09248428"," 0.4395552709","-1.25681983","-0.8186067602","-0.894733213","-0.225341755","-2.343852515","-1.147952143","-2.409050683","-0.66706353","-0.837593545"," 0.287987360","-0.612478816","-2.099851322"," 0.6155814180","-1.104583666"," 0.065372896"," 0.602979529","-0.72462746","-0.03046470","-0.900515192","-1.043165889","-0.377114979"," 1.018501289"," 1.1747154490","-1.109700464"," 0.277508590","-1.483891900"," 0.558655207","-0.73266652","-1.319488157"," 0.719400666","-0.675260058"," 1.14803200"," 0.34878932","-1.240995935","-1.755595551"," 1.055442558","-1.46965299","-0.90398859"," 1.425056372","-2.249335906","-1.534555752","-0.090867147","-0.65911894","-0.7429906422","-0.8017278450","-1.204981955","-0.082433033"," 0.74227641"," 0.397601618","-1.90632959","-1.528191350"," 0.92514633","-0.68674097"," 0.326578339"," 0.444823989","-1.35147411","-0.87313966","-0.662747638","-0.625134905","-2.176294238","-2.961698437","-1.650340907"," 0.1595925128","-0.266709347","-0.625187741","-1.242076191","-2.4886894020"," 0.869731127","-0.986670976"," 0.489382899","-3.010702274","-1.512677604"," 0.728469559"," 1.435068914"," 0.52917541","-0.25789503","-0.62830927","-0.8197066192","-2.945554e+00","-0.3416291401"," 0.86097870","-1.392778023","-1.026244046","-1.057439323","-1.552197002","-1.52674188"," 0.175525259","-1.889302420"," 1.09347350","-0.651158581","-1.010915159","-0.316549868","-0.2083057340","-1.001660672","-1.9872535708","-1.343841080"," 1.297641152","-1.733389212","-0.31113405","-0.1349859237","-0.6438772674","-1.765789777","-1.46518931","-0.909433188","-1.801071272"
"a","-2.311446711"," 0.665680171","-1.417319661","-0.2640152060","-2.0647192927","-0.13764164","-0.2717598803","-2.21504030","-0.1992841498","-2.017096451","-0.097046686","-2.412518228","-1.578696556","-0.311357988","-1.59895780","-0.296685147"," 0.611246351","-0.901401023","-2.188875732"," 0.6859646387"," 0.570608144"," 0.372523264","-0.177583573"," 0.40913158","-0.08599006"," 0.929665291","-1.816027744","-0.991185807","-0.800063418"," 0.3570763634","-0.646810321","-0.372712136","-0.675094392","-0.344031751","-0.71934733"," 0.269273313","-1.272299586","-0.754883104"," 0.35516614"," 0.05034073","-1.406557661","-2.125090506"," 0.184435343","-1.36034364","-0.29029153"," 1.147820012","-2.059281625","-0.296312696","-0.109192267","-0.84573067","-1.8743818177","-1.6003659629"," 1.931607590","-0.455866490"," 0.58713586"," 0.489062952","-0.20198960","-0.250170431"," 1.19996083"," 0.22961140","-0.496106847","-0.757135760"," 1.35584217","-0.14746126","-0.804042754"," 0.223681111"," 0.363691826","-1.472599420"," 0.746911058","-0.9306730965","-1.012530710","-0.060996841"," 0.065686786","-1.5932555110","-0.033400659","-1.953085951","-0.356659614"," 0.542448066"," 0.783526103","-2.049699542","-0.614707465"," 2.90255736","-1.27916322"," 0.79002614","-0.8601790907","-1.365223e+00","-0.9026444426","-0.94820045","-1.470593161","-0.046067623"," 1.076327342","-1.620332592","-1.36599003"," 1.356933671","-1.811580810"," 0.32228669","-2.006706040","-0.258226680","-1.928426601","-0.1694651489","-1.739403598"," 1.1276474285"," 0.035050970"," 0.019435452"," 0.352866572"," 0.02949660","-0.0289580249"," 0.4686176420","-0.429198345"," 0.60447083","-2.329967521"," 1.070491365"
"3","-1.491172292","-1.464220136"," 0.971028601","-0.5429712792","-1.3887194969","-1.99722172","-2.2878178444","-1.14683732"," 0.2801656515"," 0.877752298","-0.545673319","-3.315228449","-1.337238734","-0.263497975","-0.14236253","-2.613966460","-1.713349316","-1.927429785","-1.374265060","-2.6119734998","-2.979264564","-0.256752809","-1.321523513","-0.79441649","-1.67249488","-1.269434667"," 0.934534068","-3.861909620","-2.907571369"," 1.2218020662"," 0.867197654","-1.248249427","-1.574152859"," 0.108861349","-2.31665632","-1.575183054"," 0.388451976","-2.207249761","-1.34064351","-1.78357526","-2.247795248","-1.998659705","-0.813848510","-2.40133581","-0.62464883"," 0.848430162","-1.637383960","-0.345608484","-2.163649128","-1.05664878","-0.3580376497","-0.7735138810","-1.982761621","-2.071099313"," 0.71979556"," 1.207239769","-1.56199509","-0.557795126","-1.79835393","-1.25041561","-1.120251424","-0.490864666","-0.38243723"," 0.35086286"," 0.451240076"," 0.103471489"," 0.774967234","-1.534069866","-1.309832470","-1.7305212439","-1.079162420"," 1.042289444","-2.932688150"," 0.6307840447","-0.878550126","-0.684124617"," 0.123914314","-3.491216295","-3.196372876"," 1.685221410","-1.420437197","-0.82895987","-0.45556208","-2.15057107"," 6.4088780894","-1.409292e+00","-0.4050834383","-1.27805041","-1.540946569","-1.102944501","-0.731822012"," 0.014899896","-0.06923735","-0.017925382","-1.574361702"," 0.38453438","-2.294693672","-2.468499204","-1.255731053","-2.1385866786","-1.386178526","-2.2128442679","-2.828326866"," 0.865364920","-1.456589516","-1.62537885","-1.4364075683","-0.4680242632","-2.102523139"," 5.39170744"," 8.091653015","-1.526387620"
"4","-3.218621503"," 0.208978681","-2.436081253"," 0.4816885857","-2.0651174233","-0.67869751","-0.7152315276","-1.35823119","-0.7068912793","-2.444434749","-0.535128550","-2.267706644","-0.768500252"," 1.510956392","-2.11261569"," 0.020505483"," 2.955576787","-0.613098080","-2.843786741"," 1.0632464001"," 0.379447978","-0.095630762","-0.020460761"," 0.12934247","-1.13844705"," 1.983016444","-2.917104568"," 0.275849271","-0.901966846","-0.3732808620"," 0.769746685","-1.056950153","-1.331609211","-1.097969557","-0.04743179","-0.156890691","-0.508474721","-0.774345652"," 0.46228116"," 0.34042983","-0.566410690","-2.545905147"," 2.878216360","-0.79639516","-0.91879925"," 1.024223915","-2.661208216"," 0.806795010"," 0.079018531"," 1.21904642","-0.7237619709","-1.1463323996"," 2.998471608"," 0.812533476"," 1.84524860"," 2.444108872"," 0.31395113","-1.566052815"," 0.24302486"," 0.92228222"," 2.377732280"," 0.610298303","-0.14232785"," 2.89535078","-0.533484842","-1.332472522","-0.063516557","-1.729567978"," 1.271496178","-0.6124014399","-0.048263982","-0.058100031"," 0.052975825","-0.3520663677"," 2.318871184","-1.601122119"," 0.105248476"," 0.638693638"," 0.334968418","-3.047753973","-1.281392561"," 0.84566877","-1.62649296","-0.34724852","-1.3233307352","-1.907507e+00"," 0.5991260450","-1.73553115","-0.495029503","-0.839952865"," 1.281307692","-0.963599340","-1.87615807"," 1.263659434","-0.931769362"," 0.62854064"," 0.714547669","-0.458880599","-3.770575324","-0.5555843714"," 1.784252544","-0.1150049811"," 0.027167131","-0.175138318","-1.407609063","-0.65617747"," 0.7990644905"," 0.1603999429"," 0.855653972","-1.81932693","-0.881594201","-1.730762721"
"5"," 0.353040763"," 0.744833037","-0.551243681"," 0.8637456735"," 0.7310348467"," 0.19406220","-0.0545211535","-1.81576259"," 1.7611282547","-0.325869375","-0.240211862","-0.017088992","-0.468159719"," 0.909296134","-0.07121985"," 0.251065808"," 0.382021021","-0.160305570","-0.674707033"," 0.4644726013"," 0.144321278"," 0.625968914","-0.184684555","-0.88587073","-0.33634659","-0.132790545","-0.327267379"," 0.644409041","-1.112668793","-1.1111487701"," 0.386659156","-0.038952552","-1.562672522","-1.634636678"," 0.17551536","-2.137606049","-0.204290984"," 0.391312868","-0.39236767","-0.90341761","-0.413324946"," 0.747052268","-0.824278679"," 0.02476777"," 0.75458972"," 0.814031105"," 0.588015202"," 0.275981999"," 0.030110065","-1.11893801","-0.3677317142","-0.1083536660","-1.249221689"," 0.519148018"," 0.91874847"," 1.031390914","-0.31511900"," 0.865427258","-1.33217903","-1.10298770","-1.467198644"," 0.193783851"," 1.04217154"," 1.51031586"," 1.221742435"," 0.996229606"," 0.383434202"," 1.121133954","-0.896569108","-0.9344546547","-0.929272019","-0.323676493","-1.710503836","-0.3483593310","-0.932385555","-1.291660783","-0.669618447","-0.167954738"," 0.382803593","-0.425884317","-0.560693548"," 0.31251305","-0.66080088","-0.68460560","-0.5104181769"," 1.294518e+00","-1.1205244228","-1.76710002","-0.366807079","-0.614347908"," 0.955482999","-0.308784435"," 1.06916500"," 0.433218349"," 1.267806395","-0.74684688","-1.119641607"," 0.281403268"," 1.574995887","-1.1870510214"," 0.021867536"," 1.0871272493"," 1.317006255"," 0.845212362"," 0.116380441","-1.31311512","-0.9701952060","-0.7252781658","-1.112462172"," 0.17930063"," 0.266735936"," 0.353479159"
"6","-0.067216361"," 0.058429854","-0.454722218","-0.9896603242"," 1.1976519374"," 0.56783346"," 0.0424274672","-0.13279572","-0.1150964580","-0.519364190","-0.296330338"," 1.024165051","-1.395800511"," 0.178672385"," 0.67941628"," 0.611691677"," 0.861758803"," 0.601413149"," 0.378249517"," 0.0754659954"," 0.732207469"," 1.065813551","-0.244299105"," 1.39900966"," 1.40949436"," 0.729991781","-0.697722884","-0.826796260"," 0.838608956"," 0.2410859405"," 0.928795164","-0.187598113","-0.968876388","-0.408089205"," 0.50369094"," 0.358748268","-0.514547367"," 0.515247121","-0.61605372","-0.04195452","-0.321037023"," 1.467603777","-1.001113382","-0.38707155"," 0.05166989"," 1.581802327"," 1.582795947"," 2.534465206"," 0.359763867","-0.77468918"," 1.1726875850"," 1.2927517457","-1.221572757","-0.584641195"," 1.09004561"," 1.918226284"," 2.06353157","-0.933790179","-0.92504401"," 0.84485546","-0.613985728"," 0.624739485"," 0.37035280"," 1.27208431"," 1.398613621","-0.996257823"," 0.762211232"," 1.280278941"," 2.024790952","-0.7919049675","-1.010167462","-0.106646879"," 1.156451390"," 0.4065569622","-1.388341256","-1.075366613"," 0.617469368"," 0.828616323"," 0.922453617"," 0.115148749","-1.335301152"," 0.37065855"," 2.32325005"," 1.13273513"," 0.0201910590"," 1.345673e+00","-0.8357638176"," 0.13816981"," 0.082926320"," 1.284763051"," 0.089921068"," 1.713973978"," 1.00123895","-1.065948377"," 0.798425763","-0.57848973"," 0.631826867"," 0.843453566"," 0.645165464"," 0.8323620464"," 1.976303347"," 0.1193567094"," 0.050970078"," 1.222031531"," 1.052606902"," 1.05215242"," 0.8442080585"," 0.8731078612"," 1.820986196"," 0.98669578"," 0.326153863"," 1.120278350"
"b"," 1.167415633"," 1.663545392"," 0.076771416"," 1.0228342328"," 0.7430721690"," 0.47872089"," 0.7332644704","-0.44579346"," 0.6364325112"," 1.338093686"," 0.034034727"," 0.742973550"," 0.153322679"," 1.896099580"," 0.41280912"," 0.691609822"," 0.460947681"," 0.968779608","-0.047923738"," 1.8343134806"," 0.286424475"," 0.566029813"," 0.727881219"," 0.93952402"," 1.81762073"," 0.167182745"," 1.269012731"," 1.288621170"," 0.231128713"," 0.4463118600"," 1.071371754"," 0.785165200"," 1.471047967"," 0.027904959"," 0.71249763"," 1.126142346","-0.394264557"," 0.893854410"," 0.55179453"," 0.37025777"," 0.706205839"," 0.282325344"," 0.891711552"," 0.73787539","-0.17759094","-0.389916624"," 1.374746837"," 0.583617241"," 0.849200763"," 0.22830172"," 1.3621008699"," 0.3385244215"," 0.066611882","-0.621264202"," 0.43522388"," 0.416714349"," 1.60055650"," 0.798211285"," 0.73179945"," 1.71076663"," 0.434879221","-0.135041161"," 0.94116374","-0.21240163","-0.259471833"," 0.881798992"," 0.203843449"," 1.228586389"," 1.754755802"," 0.0859598276"," 0.171292824"," 1.984358400"," 1.304064731"," 0.8351664881"," 0.709542805","-0.474954586"," 1.354862044"," 1.313969468"," 0.556181095"," 1.506697792","-1.043450809","-0.39055391"," 0.85880691"," 1.76564734"," 0.1418626404"," 1.304812e+00","-0.4464214385"," 0.26772667"," 1.638591595"," 1.027599894"," 1.359577617"," 2.140149200"," 1.20012763","-0.006369483"," 0.491950846"," 0.69291555"," 2.337616226"," 0.429913372"," 0.255746346"," 1.1595505832"," 1.235277424"," 1.0598232779"," 0.978846600"," 0.261534297"," 1.210205321"," 1.33196077"," 1.9320885190"," 1.1596843283"," 1.854564510"," 0.86709742"," 0.094915261"," 1.107328223"
"8"," 0.821889926"," 1.673249063"," 0.961736525"," 1.8982155701"," 0.8085563320"," 0.78189299"," 0.6272081307","-0.19567679"," 0.9043993663","-0.070813676"," 0.901966187"," 1.593975354","-0.334252002","-0.501217041"," 0.38884432"," 1.627742655"," 0.227481375"," 1.512069354"," 0.512886026"," 0.3715923535"," 0.775603483","-0.394765210"," 1.333278137"," 2.54477319"," 1.36160276"," 0.132961423","-0.097172195"," 0.906994952"," 2.438590444"," 1.8618366284"," 1.815564245"," 0.965296805"," 3.141547024"," 0.306427730"," 1.37011302"," 1.442893733","-0.165644112"," 1.416665559"," 0.55664997"," 1.07515984"," 0.771851665"," 0.319540272","-0.208381639"," 1.24981258"," 1.08135287","-0.161267227"," 0.076949057","-1.329046463"," 1.486566028"," 1.08195664"," 0.0928507492"," 0.1503981244"," 1.054745808"," 1.123833216","-0.42488285","-0.078233785"," 2.03700231"," 1.724285145"," 0.70051817"," 1.29598308"," 0.151858556"," 0.670311005"," 1.26165308"," 2.15478945","-0.214538300"," 1.713850964","-0.910921138"," 0.232004011"," 0.843448518"," 1.3222517810"," 0.349254900"," 0.844771859"," 1.071584303","-0.1578342854","-0.255619630"," 0.083485388"," 0.336412030"," 0.828417884"," 0.831469825","-0.253678609"," 1.181393618"," 0.93434505"," 0.06460406"," 0.64536624","-0.2552632344"," 4.980222e-01"," 0.4498370163"," 0.97620077"," 2.020194943","-0.222092306","-0.481128827"," 2.166978610","-2.36977250"," 0.908939448","-0.435144038"," 0.36234674"," 0.915740527"," 0.682582514"," 0.653436786"," 0.4650644298"," 1.542942708"," 1.9824084794"," 0.302521996"," 0.278047950"," 0.731164524"," 0.43842972"," 1.3495415171"," 2.8678011420"," 1.911555286"," 0.56619128","-0.667698135"," 1.081546762"
"9"," 2.822040958"," 1.224335702"," 1.337332249"," 2.7442244060"," 3.1616832386"," 2.53350988"," 2.8623554469"," 2.00592352","-0.4377533433"," 2.019826823"," 0.049748002"," 0.284018668"," 0.886499976"," 1.549628965"," 1.65756922"," 2.614229540"," 2.551273789"," 2.694770615"," 1.243857241"," 2.4560961719"," 1.907079577"," 0.911013747"," 1.929593671"," 2.44872196"," 2.82917915"," 1.425544039"," 1.781088479"," 1.787452461"," 1.905880898"," 0.1220326558","-1.150228916"," 2.774490966"," 0.973656413"," 1.062995588"," 2.70848513"," 2.753449862","-0.261499644"," 2.648951701"," 2.29527873"," 2.96789526"," 2.255745491"," 1.272149960"," 2.501237245"," 2.52696711"," 1.68534092"," 0.449408834"," 2.941797554"," 1.666761753"," 2.750894093"," 1.70761030"," 1.9090216101"," 1.6331347386"," 0.942816372","-0.197970891"," 0.07047521"," 0.232518362"," 2.65551940"," 1.031872816"," 1.97092580"," 3.28273457"," 2.301882841"," 1.833398607"," 1.35722051","-0.46193199"," 1.569882215"," 1.048335592"," 1.537043415"," 1.931847181"," 3.421449029"," 1.4790389607"," 1.996994993"," 1.162089306"," 2.239128789"," 0.7237340658"," 2.403493627"," 1.884816592"," 1.551830034"," 1.469641456"," 2.042519131"," 2.061016218"," 0.088665456"," 1.16478168"," 3.56697474"," 2.17229822"," 1.0836834038"," 1.934557e+00"," 0.4672207741","-0.25405215"," 3.142647767"," 1.568265116"," 2.296485856"," 1.913730488"," 1.02531865"," 1.579333572"," 1.534601032"," 2.40456843"," 2.975949195"," 1.863136497"," 0.946825764"," 1.3585796607"," 1.028050823"," 0.8121177023"," 1.828546306"," 0.743425594"," 1.302940469"," 1.65415401"," 3.5255893911"," 2.2119697643"," 2.812691307"," 0.51682661"," 0.760075167"," 1.233024453"
"10","-0.181890720","-1.747072583"," 0.219226036","-1.9413264717","-1.6529566467","-2.30735140","-1.5758724997","-1.14849060","-0.4589585634","-1.133595549","-0.309576321","-0.614619748"," 0.513107723","-3.008349672"," 0.38065726","-4.695091927","-1.258617163","-1.807606127"," 0.075285695","-1.5634018742","-3.414238486","-0.583070518","-1.647178382","-1.55780258","-2.33448457","-0.189105139","-1.071322391","-1.474444163","-1.661022244"," 0.9550736097"," 2.909227207","-0.688867161"," 0.027127689"," 0.703418596","-1.69777246","-2.681186154","-0.419468993","-2.062734366","-0.63705864","-0.58031348","-0.896483462"," 3.340164988"," 1.115441755","-0.46014311","-4.54797899"," 0.049234519","-1.609269023","-0.298902132","-4.814757707","-0.46766437","-0.4436215270"," 0.0118077892","-1.649792186","-2.842527274"," 1.34621279"," 1.322840041","-1.37768226","-0.647445185","-2.74466738","-0.86527124","-1.002775057","-1.693837634","-2.33422481"," 1.23825582","-1.529830583","-0.822545385","-1.380141086","-1.273165739","-2.513092986","-2.8487521615","-3.977382158"," 1.367998069","-2.779083380","-1.2859595953"," 1.314766642","-1.975213175","-2.321119104","-3.046697790","-3.401659713"," 1.041717872","-1.986478557","-0.80312569","-2.58942562","-1.70750981"," 1.7583997513","-1.591998e+00"," 0.0093050390","-0.31521443","-1.283427447","-1.433009581","-1.308755706"," 0.462435084","-2.06199164","-0.678303640"," 0.221527260","-1.30708712","-0.525777401","-2.688679674","-0.541207294"," 0.4806245697","-0.696060970","-2.4118520037","-3.180361113"," 0.507356689","-0.974802556"," 0.25165621","-1.2348829576","-1.9333181169","-1.623535666","-2.35836890"," 0.299648554","-1.093455196"
