"","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"1","-1.43941107","-2.175345374","-0.89896391","-1.067379095","-1.948597301","-1.20344130","-0.979482136","-1.691233267","-1.26486538","-1.474503219","-0.655864226","-2.862976582","-1.6824149359","-2.218965144","-1.24287208","-1.472107e+00","-0.962809613","-1.40445090","-2.526760325","-0.81901451","-1.625005360","-0.7348848745","-0.755461310","-1.6112421817","-1.2018185135","-1.54179546","-1.544767199","-1.270592513","-1.018501289"," 0.2032315238","-1.635700678","-1.029538527","-1.93543584","-0.037587059","-1.486547385","-2.098858433"," 0.110328867","-1.4523640320","-0.581111374","-0.878079926","-1.771464926","-2.25612743","-0.506092520","-1.893108498","-1.470986903"," 0.3372023238","-2.414167219","-2.039693545","-1.16799261","-1.3734936810","-1.561360212","-1.5167366971","-1.738707999","-1.0735442422"," 0.307193209","-0.058381171","-2.132564914","-1.91078775","-0.593743827","-1.40113465","-0.873771538","-0.58381125","-1.835593564","-1.27550054","-1.336546248","-1.03219467","-2.362436017","-2.83015412","-1.875678291","-0.8169320102","-1.163926266","-1.27677953","-1.881491599","-2.330369347","-0.583023301","-1.442438024","-0.824599377","-2.615353179","-1.817969148","-0.594432896"," 0.422139144","-0.342348535","-1.321101615","-1.468349147","-1.2698074934","-2.907658714","-1.10461075","-0.046221502","-1.875935218","-1.600093191","-1.519735877","-2.16341692","-1.90887153","-0.81989873","-2.304748698","-0.613921956","-1.446483471","-1.7587211012","-0.776922524","-1.201229684","-1.565681932","-2.34256800","-1.88059917"," 0.502869377","-2.18446300","-1.257953943","-1.187729829","-1.54631852","-2.034443012","-1.827132450","-1.351940504","-2.048300470"
"a","-0.24557044"," 1.254885462","-0.15791324"," 0.752063536","-0.302447008"," 0.85215981"," 0.801730593","-1.776961480"," 0.61156859","-0.477498059"," 0.247637520","-1.485444609","-0.9631416941"," 0.670018889","-0.61255796"," 7.498614e-01"," 1.156483518"," 0.53939023","-1.341644993"," 1.22175171"," 1.141767492"," 0.8974469791"," 0.734839685"," 1.1650263559"," 0.8926837612"," 1.33112005","-0.337218049"," 0.256244831"," 0.800063418"," 0.8533944716"," 0.127254092"," 0.739854388"," 0.12177269"," 0.110822830"," 0.631431494"," 1.015891678","-0.703219175"," 0.5764754750"," 1.061446475"," 0.868956813"," 0.119012516","-1.30705736"," 0.902420514"," 0.210525435"," 0.706568002"," 1.4144823904","-0.263589402"," 0.458658385"," 0.83962007"," 0.2317574500","-0.607747996","-0.5853117513"," 1.996470438"," 0.5284536487"," 0.848614179"," 0.780638942"," 0.727030944"," 0.09418736"," 1.455361444"," 0.97339053"," 0.560566987"," 0.16168706"," 1.630684205"," 0.25841830"," 0.023523741"," 0.55360283"," 1.027449154","-0.02125286"," 1.214436077"," 0.0009845724","-0.061845846"," 0.70795584"," 0.987141800","-0.129162313"," 0.793741125","-1.448544099"," 0.662290318"," 1.146852048"," 1.240863483","-0.280044434"," 0.105480128"," 2.798241103"," 0.164770562"," 1.327900331","-0.0045464487","-0.004213745"," 0.10808922","-0.194880329"," 0.052864845"," 0.849299437"," 1.307698046","-0.43730736","-0.68846228"," 1.19126926","-0.748254754"," 1.018070602","-0.624914185"," 0.7625872949","-1.551402921"," 0.763593541","-0.039446727"," 1.56777625"," 0.89114921"," 0.493142217"," 1.05693267"," 0.875475471"," 0.880401082"," 1.19057867"," 0.633515320"," 1.089630721","-1.095107746"," 1.420775170"
"3"," 2.42790833"," 2.097246422"," 3.21355160"," 2.925502343"," 2.337777016"," 2.43357694"," 2.342122486"," 0.236147669"," 2.67807542"," 3.201106184"," 0.711546745","-0.611685189"," 0.5526165925"," 2.857628700"," 2.01632461"," 2.071142e+00"," 2.322738000"," 2.51017965"," 0.827188987"," 1.91542072"," 1.857879748"," 2.0449442389"," 2.347613517"," 2.7995644607"," 2.6084614657"," 2.32843538"," 3.207588786"," 0.781555347"," 2.907571370"," 3.0413279945"," 2.915874604"," 2.736062997"," 1.11061185"," 1.626749640"," 2.417980513"," 1.585519567"," 1.817932235"," 2.3304342355"," 2.591038845"," 2.071384593"," 1.962860631"," 0.28019571"," 2.540261701"," 2.055661268"," 2.760917095"," 2.6791444881"," 2.342518366"," 2.223686629"," 2.28936444"," 2.0953795448"," 2.607343061"," 1.8902226903"," 1.491822531"," 1.6698829946"," 1.767070616"," 2.313861215"," 2.180241888"," 0.67984425"," 2.127551459"," 2.68128734"," 2.395703806"," 2.23393832"," 2.519429527"," 1.73033074"," 2.699190604"," 1.32811911"," 3.397427910"," 2.17812461"," 2.516886776"," 1.3177525236"," 1.852520672"," 3.24818805"," 1.876889656"," 3.077019743"," 2.493358545"," 0.805000836"," 3.150691644"," 1.447631827"," 1.713947770"," 3.600335139"," 1.077026797"," 1.496944440"," 3.069263182"," 1.870656594"," 6.3356343920"," 2.194043449"," 2.25797672"," 1.135216823"," 2.299106886"," 2.639032177"," 2.599657023"," 2.85332237"," 1.67282235"," 2.51748204"," 1.169788673"," 3.342993302"," 1.224461218"," 1.8714546093"," 0.073782092"," 1.952137031"," 2.336350864"," 1.73131872"," 1.54112692"," 2.471671243"," 2.05170029"," 2.273173389"," 2.680879886"," 2.91796280"," 2.014064122"," 5.980651404"," 7.753302206"," 2.202065792"
"4","-0.57133351"," 1.071256227","-0.69662678"," 1.207696857","-0.193380996"," 0.72872575"," 0.724130447","-0.898933495"," 0.47075926","-0.640808305","-0.136455170","-1.277737434","-0.1543360621"," 1.661989984","-0.92259125"," 9.965346e-01"," 2.386773393"," 0.77249801","-1.838498572"," 1.52074168"," 1.167543489"," 0.6222961282"," 0.914278131"," 1.1047332760"," 0.5195474233"," 2.00536425","-0.891932855"," 1.091725877"," 0.901966846"," 0.3479923186"," 1.286287819"," 0.550611414","-0.29621609","-0.511461974"," 1.028088806"," 0.765485737"," 0.015249751"," 0.6835746124"," 1.226422937"," 1.136374644"," 0.678845000","-1.60547647"," 2.347528963"," 0.611566211"," 0.531104814"," 1.3948061840","-0.488896762"," 1.385832045"," 1.03372762"," 1.6110930284"," 0.351622436","-0.1357379247"," 2.776282736"," 1.3979478795"," 2.058839051"," 2.614203582"," 1.121840978","-1.14200974"," 1.071089997"," 1.36981758"," 2.174307011"," 1.24833402"," 0.766360168"," 3.02296580"," 0.315505531","-0.90221242"," 0.866872801","-0.06496258"," 1.571514549"," 0.3486568582"," 0.803532927"," 0.80382661"," 1.101504737"," 0.652002375"," 2.112483378","-1.064580986"," 1.012378334"," 1.306447917"," 1.145270822","-0.688340181","-0.382810199"," 1.304994750"," 0.077112771"," 0.768550410","-0.2406880494","-0.233883431"," 1.17061503","-0.786508499"," 0.703791411"," 0.580557458"," 1.505733106"," 0.15651993","-1.06281416"," 1.24558561"," 0.018650955"," 1.268039372"," 1.377427689"," 0.7610451325","-3.334246659"," 0.663852939"," 1.837348442"," 0.89621928"," 0.99756255"," 0.387474052"," 0.01206529"," 0.625487626"," 1.316589893"," 1.10348469"," 1.425605685","-0.353280362"," 0.001965133","-0.004221406"
"5"," 1.37301623"," 1.630429930"," 0.65882216"," 1.614274495"," 1.604207064"," 1.35592799"," 1.257149798","-1.244845409"," 1.77494882"," 0.827012899"," 0.241644062"," 0.864744546"," 0.2516116159"," 1.585409979"," 0.75907731"," 1.325469e+00"," 1.384701316"," 1.19603431"," 0.187589158"," 1.45702976"," 1.293457319"," 1.3295978270"," 1.051707318"," 0.7054906958"," 1.1401578881"," 1.08160006"," 0.824494892"," 1.521997886"," 1.112668793","-0.0857391419"," 1.157610307"," 1.242350053","-0.30462796","-0.881667800"," 1.365179618","-0.659205743"," 0.387877181"," 1.4345456198"," 1.049614650"," 0.670634990"," 0.989932228"," 1.43581940"," 0.716644986"," 1.265708327"," 1.502448250"," 1.3877225880"," 1.582112608"," 1.161833620"," 1.24615632"," 0.3578763080"," 0.825608939"," 0.8728539584"," 0.256884300"," 1.4322974084"," 1.275380632"," 1.407349311"," 0.992016489"," 1.30957807"," 0.483617533"," 0.76962143"," 0.371432412"," 1.13280086"," 1.726689080"," 1.88990773"," 1.845766048"," 1.42976392"," 1.353591373"," 1.84268523"," 0.776849638"," 0.2876876090"," 0.296511407"," 0.85695418"," 0.400978347"," 0.851784180"," 0.646103734","-0.666490894"," 0.830134649"," 1.135647444"," 1.398741141"," 0.836406613"," 0.397557225"," 1.052866809"," 0.887935149"," 0.797293566"," 0.4505934819"," 1.980207598"," 0.23776970","-0.652331973"," 1.003291042"," 0.917938049"," 1.567650774"," 0.85524150"," 1.57438200"," 1.12449071"," 1.899705419"," 0.873773209"," 0.299674072"," 1.4372826845"," 2.069245658"," 0.547816498"," 1.171598738"," 1.87797387"," 1.96770712"," 1.385381084"," 1.22533248"," 0.507517832"," 0.862078190"," 0.76221953"," 0.607236618"," 1.097085889"," 0.961999335"," 1.355261410"
"6","-0.93925853","-0.835701727","-1.03491613","-1.373001162","-0.226239712","-0.70553623","-0.946915950","-0.512613966","-0.78796896","-1.083363587","-0.648186177"," 0.236080094","-1.8003091222","-0.774210515","-0.10379317","-6.579332e-01","-0.494284834","-0.70543589","-0.254283928","-0.88770111","-0.593484542"," 0.1593143038","-0.975815365","-0.0718958312","-0.3189749075","-0.47515476","-1.177078440","-1.343673209","-0.838608956","-0.4074296500"," 0.057797498","-1.032933915","-1.40144011","-0.809580892","-0.765524145","-0.536127842","-0.875144480","-0.7254461915","-1.229910928","-0.904847821","-1.084117153"," 0.70228662","-1.348287990","-1.140963713","-0.853970608"," 0.5801830194","-0.048707756"," 1.212723215","-0.77427834","-1.2750391320"," 0.046014431"," 0.3070076970","-1.578490982","-1.1964479488"," 0.698951664"," 1.409546108"," 0.271103642","-1.25794252","-1.354690578","-0.57449540","-1.183075918","-0.29245789","-0.559812867"," 0.72621027"," 0.406016630","-1.31365616","-0.373213551","-0.13325573"," 0.050292401","-1.4072659320","-1.589839285","-0.83320808","-0.373810172","-0.562447620","-1.567443931","-1.436510649","-0.566592020","-0.506333203","-0.494087685","-0.734460034","-1.798603463","-0.331466828"," 0.406120945","-0.237963949","-0.5824426847","-0.048653112","-1.26919014","-0.523383248","-0.863382839","-0.298798503","-0.805967946"," 0.47002767"," 0.35406957","-1.11820763","-0.070051251","-1.176290537","-0.374160650","-0.4624363473"," 0.259703918","-0.446557030"," 0.118273310","-0.82545308","-0.88371129"," 0.545367743","-0.17854582","-0.349756953","-0.605721382","-0.36263313"," 0.064140650","-0.117328306","-0.351512851","-0.263357410"
"b"," 0.31107287"," 0.814631515","-0.16019975"," 0.219773714"," 0.169770951","-0.05167716"," 0.056191355","-0.539707068"," 0.08585760"," 0.592226831","-0.065685066"," 0.469528588","-0.0006161071"," 0.685891146"," 0.14020438"," 4.139015e-02","-0.029464748"," 0.13308087","-0.201962892"," 0.65222054","-0.125194603"," 0.2495751794"," 0.110840377"," 0.3284758635"," 0.5801235302","-0.14931656"," 0.535405671"," 0.503512199","-0.231128713"," 0.1883835642"," 0.637570873"," 0.087873572"," 0.93434405","-0.098775264"," 0.026611691"," 0.699552853","-0.461258879"," 0.1302056018"," 0.008312919","-0.038418391"," 0.125856677"," 0.08620746"," 0.210036609"," 0.114254731","-0.321451493","-0.4518289135"," 0.516390553"," 0.246737607"," 0.11006715","-0.0769053343"," 0.787934408"," 0.0704566147","-0.176850019","-0.6080194806"," 0.318185678"," 0.286113554"," 0.650396305"," 0.68019626"," 0.133126715"," 0.44859535","-0.008832270","-0.30433896"," 0.384069694","-0.30217283","-0.387816632"," 0.75187011","-0.106695661"," 0.48063446"," 0.577856932","-0.1458088895","-0.078958174"," 0.84632880"," 0.428433683"," 0.244374741"," 0.132340866","-0.564898564"," 0.464354078"," 0.401050380"," 0.003488275"," 0.543245428","-1.071656246","-0.466923611"," 0.240661504"," 0.789748889","-0.0697255746"," 0.567471369","-0.48996740"," 0.051028878"," 0.657108331"," 0.239793156"," 0.396699652"," 1.38452418"," 0.88555492","-0.20297346"," 0.191788653"," 0.062433321"," 1.409949377","-0.0113196630"," 0.148958621"," 0.379585094"," 0.379591617"," 0.41789617"," 0.31052549"," 0.085952459"," 0.55189389"," 0.449954328"," 0.495187427"," 0.49642857"," 0.736069137"," 0.344085972","-0.093322563"," 0.363985948"
"8","-2.24235016","-1.476573513","-1.59635652","-1.787345901","-2.160887324","-2.43681792","-2.532068875","-1.320916443","-1.72936799","-2.284632521","-0.163006937","-0.528718106","-1.8044104458","-2.748363667","-1.48943821","-1.977503e+00","-2.526012320","-2.14790446","-1.248170806","-2.50610177","-2.339639888","-2.1759421456","-1.861536519","-1.1669046920","-2.2069468425","-2.45582798","-2.286213532","-1.999250738","-2.438590444","-0.2659711408","-0.506838071","-2.331078510"," 0.45232959","-1.011577167","-2.265234739","-1.229332133","-1.384223150","-2.1453650292","-2.446364218","-1.969742177","-2.241206502","-1.42725050","-2.574345558","-2.112013322","-2.065392611","-1.8393853037","-2.696490699","-3.097811100","-2.06159232","-1.6357839722","-2.341571374","-1.9823712632","-1.640586142","-1.7713755505","-1.315503429","-1.084073786","-1.422992756"," 0.65359812","-2.199006761","-2.14726565","-2.422935562","-1.68527300","-1.509373395"," 0.73387904","-2.136807575"," 0.62076144","-3.010005926","-2.44984999","-2.231154191","-1.2079567207","-1.997713608","-1.80581114","-2.322836722","-2.375682811","-2.604005564","-1.139116824","-2.411844732","-2.259724024","-2.292902463","-2.433015287","-0.911775431","-1.073243560","-2.761240237","-2.250581691","-1.9028506303","-2.265553131","-1.82235757","-1.033492522","-1.525092683","-2.762051947","-2.687959718","-0.75301688","-3.47365284","-1.78418069","-2.344091819","-2.493120531","-1.732502613","-2.3858212708","-0.458805285","-2.355238935","-1.768394681","-1.37256845","-2.48112492","-1.214711481","-2.04120235","-2.391418666","-2.192037896","-0.84108008","-1.610516128","-1.797791264","-2.167134673","-1.955473126"
"9","-0.70498897","-1.206913235","-0.88528129","-0.814883304","-0.266963821","-1.05267371","-0.936245625"," 1.060819430","-1.87069493","-0.537550971","-0.767043868","-1.257562148","-0.3530651317","-1.202699501","-0.15095572","-9.740140e-01","-0.840097328","-1.06162775","-0.244920832","-0.88760111","-1.238587768","-0.7794314147","-1.030990902","-0.6228623561","-0.8998086062","-1.20591029","-0.694132695","-0.941004394","-1.905880898","-1.2630451894","-2.354280756","-0.922556958","-0.77221256"," 0.057935781","-1.092124486"," 0.380177189","-1.197002145","-0.9997062105","-1.016655745","-0.363893890","-0.868580960","-0.21701389","-0.684896764","-0.863740969","-1.237172261","-1.0113344327","-0.480672395","-0.360877174","-0.92593488","-0.7428649370","-0.459653136","-0.3418544728","-1.206346526","-2.0353184308","-0.653210495","-0.578145060","-0.518795113"," 0.20429875","-0.987994115","-0.74603934","-0.747168644","-0.36347893","-0.941505600","-1.34115903","-0.323723797"," 0.20478930","-0.968334612","-0.88051050","-0.441934507","-0.5895152862","-0.184182431","-1.14318629","-1.059416923","-1.388851439","-0.690019956"," 0.831566263","-1.209879959","-1.356655916","-1.147835287","-0.759526843","-1.424313636","-0.507566917","-0.086264206","-0.777403884","-0.6323212019","-0.809491754","-1.34924297","-1.672529510","-0.325662927","-1.325542502","-0.861755896","-0.42288319","-0.26117586","-1.07632736","-0.376556194","-0.986238056"," 0.226694418","-1.0825813377"," 0.074470255","-1.302971500","-1.471445162","-1.53606492","-1.02477365","-0.499522031","-1.11741115","-1.181341970","-0.750488308","-0.67639882","-0.558347978","-1.358058514","-0.785520427","-1.316326881"
"10"," 1.70898221"," 0.620510129"," 1.62825559"," 0.918086987"," 0.852354383"," 0.87341590"," 1.219798803","-0.343550540"," 1.24917596"," 0.845405228"," 0.408590673"," 0.773720384"," 1.4919708107"," 0.240961537"," 1.49763609","-1.802584e-01"," 1.193212816"," 1.14585727"," 1.218186158"," 1.05899602"," 0.284853703"," 0.8385965356"," 0.915015667"," 0.9051992731"," 0.8455393486"," 1.61956959"," 0.887933683"," 0.868145402"," 1.661022244"," 1.9409273018"," 3.506060621"," 1.573828936"," 1.33836209"," 1.503326359"," 1.226298197","-0.563510675"," 0.478918344"," 0.9792430128"," 1.542193025"," 1.425667369"," 1.328464765"," 4.09861955"," 2.238428406"," 1.637136179","-0.303614784"," 1.2079849501"," 0.957803053"," 1.193070894","-0.23550583"," 1.2815199740"," 1.311098155"," 1.4412959368"," 0.521184271","-0.0495449729"," 1.880340331"," 1.902102864"," 0.974726439"," 0.06947784"," 0.333931080"," 1.46976564"," 1.178083696"," 0.24688008"," 0.081825724"," 1.91446108"," 0.156889542","-0.09039900"," 0.818956902"," 1.00989295"," 0.606090682","-0.7272334137","-1.626321623"," 2.26839741"," 0.476911529"," 0.848534476"," 2.363082089","-1.039418992"," 0.547073358"," 0.302997865"," 0.250320174"," 2.096707284","-0.386669793"," 0.603957531"," 0.381120989"," 0.786809060"," 2.3517241838"," 0.763967402"," 1.44607656"," 1.001332557"," 1.090104436"," 1.123565591"," 1.072183009"," 1.97160468","-0.76911504"," 1.19361209"," 1.538531581"," 1.217221709"," 1.248606949"," 0.3171566423"," 0.217065002"," 2.035174935"," 1.382848172"," 0.26775092","-0.01814981"," 1.423114800"," 1.07886493"," 1.917429993"," 1.370098914"," 0.58588524"," 0.926244134","-0.023151667"," 1.366279192"," 1.136909832"
