"","1","a","3","4","5","6","b","8","9","10","11","12","c","14","15","16","17","d","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234"
"Label","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P"
"X1.Methyladenosine..282.1...150.0."," 363294"," 258237"," 414501"," 176266"," 390954"," 335439"," 485946"," 412251"," 475436"," 572292"," 308848"," 424800"," 295481"," 491017"," 406036"," 399764"," 644674"," 356220"," 433398"," 364836"," 578935"," 567984"," 636235"," 407802"," 558843"," 567129"," 452920"," 357026"," 585747"," 496707"," 531463"," 547712"," 537138"," 441152"," 464832"," 500734"," 456323"," 476949"," 411224"," 384549"," 367490"," 419417"," 467118"," 276282"," 398317"," 416166"," 458708"," 368820"," 427550"," 449289"," 496170"," 344961"," 347051"," 406965"," 502646"," 498205"," 475665"," 354311"," 489104"," 399030"," 411321"," 485609"," 656531"," 357126"," 409190"," 380904"," 310836"," 310008"," 431559"," 300536"," 318941"," 298260"," 255581"," 253327"," 234086"," 237308"," 364312"," 351938"," 361153"," 353378"," 327752"," 367872"," 350756"," 388374"," 241817"," 300509"," 327846"," 289511"," 525454"," 280601"," 353132"," 538426"," 407690"," 421373"," 380418"," 404896"," 405984"," 359270"," 481736"," 466164"," 475514"," 697588"," 612692"," 608678"," 577285"," 379084"," 498997"," 461521"," 436094"," 548029"," 382584"," 542947"," 548545"," 446177"," 357746"," 310440","1523682"," 343044"," 370335"," 366940"," 480289"," 389023"," 390423"," 662683"," 619711"," 393067"," 436226"," 413172"," 387470"," 366122"," 289938"," 411580"," 539059"," 427589"," 360867"," 376892"," 457476"," 674400"," 457571"," 480417"," 344549"," 377705"," 468791"," 481168"," 348754"," 421348"," 350913"," 390792"," 486057"," 413432"," 395990"," 477829"," 497268"," 349056"," 607468"," 287105"," 368035"," 382636"," 374746"," 265546"," 285859"," 294216"," 288691"," 242758"," 285781"," 263543"," 284135"," 448223"," 379960"," 364348"," 325594"," 769701"," 254864"," 350618"," 302900"," 316314"," 372417"," 251143"," 311605"," 369574"," 474671"," 407367"," 577251"," 456311"," 488419"," 334706"," 503211"," 375136"," 631178"," 514713"," 399196","1018448"," 520021"," 441758"," 555785"," 473039"," 484519"," 615490"," 438896"," 423237"," 436594"," 518005"," 620560"," 542625"," 393048"," 449263"," 369002"," 429189"," 335740"," 384378"," 679117"," 471890"," 425792"," 374421"," 430424"," 478076"," 411114"," 423898"," 349607"," 350877"," 393578"," 410682"," 597283"," 395789"," 440289"," 463102"," 510398"," 419016"," 429856"," 390494"," 353877"," 402096"," 335186"," 375952"
"X1.Methylhistamine..126.0...109.0.","17961","42811","27449","31305","34627","26145","48012","44478","27005","24994","24209","14292","42547","33943","38500","23578","29816","35698","28462","29269","39756","52846","47890","24529","31507","23450","31227","41863","25706","27661","48395","26709","33414","33832","22408","50884","33430","29397","25493","26494","31257","18495","38637","36592","38877","34757","19012","18801","16635","24335","36800","24148","29918","15326","27654","36835","22397","30078","34401","28785","31593","20303","35159","22650","40209","19958","30040","27680","26025","36696","25879","37312","24833","30899","30514","25584","23908","34334","25061","30097","33414","22841","31349","28383","30541","23547","31367","22512","20748","21392","14663","31503","41610","38341","59907","41957","38805","36089","33329","28782","32702","24642","39836","31008","25961","40808","31992","42912","33896","33844","22614","39005","36134","27786","37114","36941","18526","39586","26089","29032","14630","40692","33185","36910","16070","35331","42912","37193","29517","17732","36637","33821","26395","28303","19347","31228","27347","39702","34153","28325","33529","35714","26113","19423","33601","29899","22887","32640","38759","22413","20604","43174","23601","36281","24268","21620","35042","21309","37056","23762","26081","21450","35652","41439","44108","28501","27204","24674","31383","33270","26293","23892","27080","40628","34017","29398","38349","40751","30531","31932","43556","29915","29726","33614","35496","32932","27631","37773","25779","24293","41086","20943","37874","40286","35226","41697","45629","31243","48932","46212","26833","52706","29965","21743","25662","22715","36634","26457","35937","21840","49339","32285","36652","44449","36183","34484","26177","25590","41337","29143","29703","19925","21932","36611","28997","32607","29863","29459","30060","18266","27153","34671","23143","30753"
"X2.Aminoadipate..160.1...116.0."," 211814"," 129058"," 419827","  74720"," 141257"," 139377"," 182545"," 235936"," 192159"," 315960"," 118373"," 126393"," 115180"," 144103"," 198150"," 203526"," 197205"," 166483","  98364","  79486"," 185140"," 528025"," 711761"," 339416"," 188272"," 672253"," 245434"," 218010"," 261552"," 185850"," 164471"," 157670"," 195217"," 173753"," 152537"," 317829"," 171326"," 107076"," 136600"," 124682"," 191084"," 166916"," 133155"," 104044"," 158299"," 351044"," 253097"," 215612"," 212546"," 108451"," 170504"," 224058"," 166173"," 156050"," 164541"," 163501"," 213423","  87516"," 188736"," 144781"," 188935"," 335907"," 272900"," 164273"," 252253"," 138269"," 190530"," 172236"," 185272","  97288"," 173139"," 166480"," 271059","  91928"," 116136"," 230431"," 184146"," 250453"," 153708"," 199769"," 231576"," 191870"," 167440"," 214186"," 325326"," 114140"," 235004"," 283649"," 285517"," 172993"," 279025"," 393224"," 212647"," 173719"," 222057"," 195650"," 188294"," 292671"," 207304"," 308239"," 274366"," 597701"," 383531"," 459526"," 157930"," 194549"," 260652"," 111210"," 121444"," 243394"," 175611"," 237206"," 557725"," 206330"," 282040"," 123905","1307744"," 325177"," 139424"," 150640"," 157681"," 194175"," 192389"," 218256"," 441268"," 185566"," 267880"," 185045"," 136311"," 170875"," 222988"," 170494"," 265542"," 261548"," 207094"," 239819"," 355711"," 317207"," 244379"," 225540"," 252928"," 274685"," 149264"," 161461","  66238"," 247657"," 105613"," 290614"," 161453"," 151771"," 369136"," 268583"," 229896"," 231633"," 472181"," 124626"," 188981"," 178113"," 216141"," 122225"," 141183","  97949","  85912"," 116048"," 109395","  79601"," 119587"," 332469"," 159037"," 187665"," 242599","1474268"," 211071"," 172854"," 173870"," 198299"," 276490"," 168099"," 132828"," 181331"," 298683"," 179583"," 307730"," 295926"," 524388"," 202635"," 228074"," 215442"," 365904"," 215839"," 153364","2666709"," 270792"," 402950"," 291890"," 202555"," 297324"," 356923"," 183394"," 469794"," 214512"," 217188"," 425617"," 181108"," 314444"," 164205"," 185326"," 305582"," 143638"," 308972"," 306398"," 174853"," 228279"," 208129"," 180066"," 334391"," 141090"," 236959"," 172893"," 104365"," 277170"," 101594"," 218073"," 105297"," 271370"," 227973"," 216277"," 199553"," 162387"," 149967"," 133951"," 130111"," 112748"," 188581"
"X2..Deoxyuridine..229.1...113.0.","13208","12801","15744","12989","13116"," 8096","13856","15693","13499","11378","12481","12030","11056","10453","14035","10971","11772","11852"," 8529","10720","10976","14328","12920","11396","12757"," 9995","12644","14341","10651"," 8841","11054","11258","12058","10134","10205","10045","10598","10539","12425"," 9693","12275","11118"," 9531","11955","11689"," 8418","10309"," 8837","11370","11237"," 8333"," 9335","10942","11217"," 9452"," 8713","12439"," 9587","10445","11268","12156"," 9436","13574"," 8504","12571","13169","13306","12780","16348","15294","16508","12935","15631","15592","12211","10515","13622","13344","14150","10747","11088","11189","11072","12441","14752"," 9464","13418","11969"," 9899","11353"," 9218","11786"," 9903"," 9499","14089","16688","14068","14171","13104","12314","16572","12995","13729","16220","12975","15022","12853","15451","15124","12465","14543","11950","11685","12079","11389","10898","18136","10775","12898","12063","12668","11849"," 9087","11832"," 9251"," 8017","14621"," 9176","10153","11467","12041","12911","12413"," 9686","12741","10766","13661","10487","12637","12823","11569","10353","11133","11415","17522"," 9430","14658","11202","12078","11491","13661","12724","13092","11212","12281","10434","10974","12675","13294","14811"," 9891","11500","14804","15539","11582","14267","14138","13212","15613"," 9773","11135","15696","12304","11841","11662","14095","12181","14983"," 9251","13967","13698","14137","12541","13270","11894","15071","13652","12457","15191","14597","13050","10945","14511","12199","16211","12376","14816","12119","12089","10986","13911","13119","11825","10244","10126"," 7818","12031","11443","10706","12106","10493","12670","14384","14022"," 9920","12451","12310","15859","12568","11672","10634","11742","12919","13271"," 9722","13281","12653","17767","12922","11790","12232","10765","12695","11041"
"X3.Nitro.tyrosine..225.0...179.3."," 58280"," 52553"," 83879"," 44805"," 92919","101152"," 94915"," 89318","124574"," 77820"," 77598","114255"," 83360"," 90286"," 80101"," 88301"," 98632"," 85701"," 91747","101264","115178"," 84533","154824"," 72355"," 82713","114782"," 89637"," 80627"," 78902","105281"," 51449","120672","107861"," 67871"," 73340"," 88396"," 71587"," 84197"," 90133"," 70050"," 78598"," 70967"," 77363"," 74712"," 89299"," 91737"," 61022"," 73785"," 78421"," 80095","124970"," 86740"," 73171"," 64883"," 83094","115773"," 74889","103894"," 74823"," 77626","113726"," 86830"," 75694"," 69030"," 92016","101323"," 59845"," 61461"," 72211"," 72827"," 67169"," 58641"," 56465"," 64327"," 62555"," 54614"," 99587"," 96176"," 88359"," 99508"," 81704"," 80977"," 81882"," 98034"," 72446"," 97839"," 71690"," 86139"," 80651"," 86392"," 91588","121242"," 96706","102676","109254"," 90125"," 87925"," 87700","112136","100447"," 82918"," 70915"," 64288","107680","134962"," 90431","119684"," 81302"," 94763","109901"," 94984"," 99090"," 88576"," 74301"," 92164"," 76684"," 73818"," 85815"," 93063"," 72410"," 85242"," 62429"," 59818"," 87512","127675"," 62726"," 70243"," 89537"," 73144"," 69533"," 68812","105842","101112"," 67033"," 77594"," 90693"," 93590"," 87683"," 85609"," 99422"," 64817"," 77290"," 92427"," 90294"," 77843"," 80827","104190"," 68560"," 83721"," 95670"," 92182"," 96200","102326"," 92217"," 70607"," 80364"," 78654"," 92133"," 65783"," 87992"," 55353"," 65498"," 78709"," 61859"," 95420"," 67719","130872"," 83353"," 85238"," 74224"," 97114"," 65563"," 87176"," 90073"," 98737"," 92579"," 84653"," 70705"," 72351"," 94010"," 69949","146943","151403","116089"," 90702"," 85485"," 91045"," 85773","101281","113524","106115"," 80036"," 74363"," 70704","121387"," 95323"," 83811","117238"," 94396"," 87295"," 89599","105740"," 97949","118487"," 73747"," 78753","125799"," 85316"," 75767"," 71374","104349"," 55081"," 81355"," 83638"," 69398","176516"," 99593"," 73202"," 82184"," 96846"," 90069","104508"," 68787","109591"," 73597"," 66224"," 82494"," 79440"," 90303"," 86395"," 96569","102395"," 89895"," 79489"
"X4.Pyridoxic.acid..182.1...138.0.","377981","394768","347877","299758","333815","343986","361172","355881","365755","325985","336507","332529","364656","364713","363085","356345","355449","342094","339314","357957","380949","402461","410695","395360","389636","454543","373751","405091","401020","382194","418956","443004","387553","400261","397517","340129","391556","373059","358042","354733","343004","373470","451605","353020","323707","347660","406798","356122","352514","371958","306048","337224","380650","381829","344677","337797","385664","379838","353964","355049","335790","347472","345834","364157","342190","323054","385214","349421","346292","345152","350422","349241","361304","383299","331359","333160","381096","342770","349658","343939","348474","347319","339628","301016","347625","347475","346122","335949","298621","335650","318777","374520","387949","338969","389982","349908","364356","349506","367099","373009","363633","377261","392483","368338","351953","389668","395222","360736","366373","379228","379232","382611","362559","405817","366550","385829","391061","391242","377902","403671","371241","357119","353588","353713","363680","336572","370552","339412","363344","362217","372353","354859","348774","375150","350963","333602","356977","351965","396502","376227","371982","381236","361114","387616","404866","362610","384099","384047","354542","375219","364670","369398","359605","383460","348045","376247","370781","369045","315154","329252","347999","344371","342289","360232","292105","327586","354895","356195","331179","370052","374161","310863","297804","323303","338956","321751","357007","328538","314370","395213","385145","361262","335031","379700","356265","358658","358593","347350","310616","327165","412506","426003","377767","400526","373564","359827","398772","369475","381185","381688","385724","370114","383556","349155","371428","398382","350582","354386","380059","346039","378813","377093","391492","385325","410512","417588","329661","371827","345550","354977","335385","357153","379128","362418","362824","376592","368267","359086","375085","379299","379356","359989","374703","356057"
"X5.Hydroxytryptophan..221.0...134.0."," 92022"," 83536"," 71700"," 64874"," 68873"," 66861"," 82767"," 74736"," 84518"," 83426"," 79721"," 83301"," 81782"," 76413"," 70284"," 82045"," 80083"," 84217"," 81498"," 85957"," 87212"," 83670"," 98424"," 85362"," 88659"," 80290"," 81074"," 92888"," 76921"," 80448"," 86447"," 88923"," 77139"," 86765"," 81141"," 78904"," 94713"," 77195"," 77767"," 82401"," 78445"," 85596"," 72831"," 81934"," 80880"," 78293"," 80340"," 69735"," 74310"," 81281"," 78060"," 73818"," 69462"," 78361"," 79908"," 81510"," 77929"," 75192"," 67772"," 81312"," 78862"," 74641"," 78076"," 73134"," 73688"," 69183"," 91275"," 83101"," 78713"," 91649"," 86854"," 76086"," 75264"," 74630"," 90673"," 74689"," 74370"," 79828"," 76006"," 67018"," 69614"," 72677"," 70740"," 71019"," 67310"," 66474"," 64396"," 64327"," 74713"," 66232"," 60573"," 77855"," 72544"," 80364"," 82075"," 75250"," 84311"," 73327"," 78242"," 78594"," 83734"," 87248"," 86105"," 87721"," 89231"," 75319"," 80310"," 79958"," 82679"," 88963"," 77653"," 78199"," 73191"," 82615"," 85808"," 80643"," 78157","109284"," 74027"," 85060"," 69286"," 80831"," 83856"," 67835"," 72499"," 76414"," 89864"," 80559"," 79523"," 85949"," 83028"," 80507"," 77653"," 78895"," 80429"," 72242"," 80781"," 82622"," 93297"," 88576"," 88162"," 82727"," 86611"," 83153"," 86736"," 85085"," 84909"," 70695"," 81036"," 88135"," 79390"," 74249"," 76637"," 76184"," 69704"," 70740"," 70663"," 85367"," 91645"," 85872"," 76912"," 73135"," 80229"," 71830"," 77470"," 78850"," 78908"," 75453"," 77396"," 75624"," 71143"," 73356"," 65626"," 68303"," 69472"," 68516"," 72502"," 73419"," 66768"," 75059"," 73268"," 81537"," 84745"," 75844"," 75437"," 77124"," 77586"," 89392"," 75773"," 72970"," 85760"," 82298"," 80361"," 73918"," 76247"," 78016"," 84879"," 86586"," 74996"," 80210"," 86402"," 75301"," 69260"," 84567"," 78940"," 74417"," 76414"," 81001"," 84726"," 81818","105641"," 87855"," 84945","102089"," 91976","113915"," 76797"," 69428"," 75672"," 62143"," 71557"," 68744"," 79997"," 85916"," 82723"," 78434"," 81258"," 73062"," 78652"," 78294"," 78535"," 77624"," 73310"," 73799"
"Acetoacetate..101.0...57.0."," 105611.0","  36860.0"," 165973.0","  84477.0","  46021.0"," 255234.4"," 227644.0"," 280533.0","2513231.0"," 165898.0","2757305.0"," 194223.0","1526713.0"," 225326.0"," 175391.0"," 598016.0"," 327091.0"," 812050.0"," 220776.0","1451623.0"," 286113.0","1919485.0","3397320.0"," 887854.0"," 765983.0"," 663460.0"," 465040.0","1415018.0"," 300035.0"," 211597.0"," 118082.0"," 622031.0"," 237295.0"," 227303.0"," 171312.0","3259297.0","3270350.0"," 142703.0"," 144710.0"," 252089.0"," 106098.0"," 461358.0"," 429726.0"," 161471.0"," 306071.0"," 993604.0"," 873892.0"," 858672.0"," 104263.0"," 132797.0","  95319.0"," 825381.0"," 195568.0"," 135821.0"," 825225.0","1289472.0","1699864.0"," 436295.0","3287811.0","5130164.0","6202848.0","1138220.0","4853939.0"," 541691.0","4521932.0"," 538932.0"," 294361.0"," 751715.0"," 337154.0","  84432.0"," 535028.0"," 611803.0"," 473569.0"," 160989.0"," 341807.0"," 486112.0","  75063.0","  36632.0","  58437.0","  63194.0"," 121571.0"," 179585.0","  27376.0","  37781.0"," 224916.0","  66445.0"," 186504.0"," 511139.0","  21590.0","  61910.0"," 171091.0"," 753308.0"," 192732.0","  87600.0"," 168531.0"," 616385.0"," 385147.0"," 257340.0"," 586397.0"," 198417.0"," 775529.0","2464662.0"," 218229.0"," 375828.0","1535132.0"," 271728.0"," 784594.0"," 774269.0"," 451236.0"," 356427.0","1234800.0"," 168517.0"," 149436.0","2976570.0"," 703536.0"," 161378.0","1403392.0"," 451213.0","1953446.0"," 369236.0"," 723413.0","1808297.0"," 319481.0"," 659953.0"," 490539.0"," 713921.0"," 390930.0"," 745030.0"," 789313.0","1719331.0"," 224556.0"," 689361.0"," 333060.0","1409920.0"," 426308.0","1404379.0","1943275.0","2761298.0","2537177.0"," 425507.0","2338777.0","6193039.0"," 422644.0","1758352.0"," 547124.0","2455658.0"," 188268.0"," 809683.0"," 630763.0"," 408765.0"," 770927.0","3092135.0"," 701235.0","2070173.0"," 691899.0"," 129157.0","2842231.0","1013782.0"," 377169.0"," 525322.0"," 153941.0"," 277375.0"," 144718.0"," 402431.0"," 725516.0","  99884.0"," 224309.0","  93870.0"," 387099.2"," 292096.0"," 247209.0"," 171158.0","  96831.0"," 120942.0","  79125.0","  80555.0"," 522233.0","  39497.0","  45907.0"," 222678.0","  94328.0"," 352786.0"," 201137.0"," 204647.0","1358054.0"," 141977.0"," 584753.0","1243077.0"," 196568.0"," 128975.0","  76462.0","1004341.0"," 261537.0"," 767274.0"," 308404.0"," 548631.0"," 635901.0"," 187557.0"," 609774.0"," 944890.0"," 576812.0"," 220260.0"," 632519.0"," 173614.0","2789222.0"," 520180.0"," 643934.0"," 140985.0"," 371975.0"," 397691.0","1012075.0"," 213884.0","2172058.0"," 757571.0","1142012.0"," 910361.0","1175353.0"," 587149.0","1200557.0"," 165219.0"," 869475.0"," 233590.0"," 496425.0"," 319765.0","2637567.0","1927273.0","2934296.0","2428455.0"," 606032.0"," 860585.0","1060168.0","1155288.0","2130461.0","2814320.0"
