"","Sample","Label","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0."
"1","1","C",363294,17961,211814,13208,58280,377981,92022,105611
"2","a","C",258237,42811,129058,12801,52553,394768,83536,36860
"3","3","C",414501,27449,419827,15744,83879,347877,71700,165973
"4","4","C",176266,31305,74720,12989,44805,299758,64874,84477
"5","5","C",390954,34627,141257,13116,92919,333815,68873,46021
"6","6","C",335439,26145,139377,8096,101152,343986,66861,255234.351
"7","b","C",485946,48012,182545,13856,94915,361172,82767,227644
"8","8","C",412251,44478,235936,15693,89318,355881,74736,280533
"9","9","C",475436,27005,192159,13499,124574,365755,84518,2513231
"10","10","C",572292,24994,315960,11378,77820,325985,83426,165898
"11","11","C",308848,24209,118373,12481,77598,336507,79721,2757305
"12","12","C",424800,14292,126393,12030,114255,332529,83301,194223
"13","c","C",295481,42547,115180,11056,83360,364656,81782,1526713
"14","14","C",491017,33943,144103,10453,90286,364713,76413,225326
"15","15","C",406036,38500,198150,14035,80101,363085,70284,175391
"16","16","C",399764,23578,203526,10971,88301,356345,82045,598016
"17","17","C",644674,29816,197205,11772,98632,355449,80083,327091
"18","d","C",356220,35698,166483,11852,85701,342094,84217,812050
"19","19","C",433398,28462,98364,8529,91747,339314,81498,220776
"20","20","C",364836,29269,79486,10720,101264,357957,85957,1451623
"21","21","C",578935,39756,185140,10976,115178,380949,87212,286113
"22","22","C",567984,52846,528025,14328,84533,402461,83670,1919485
"23","23","C",636235,47890,711761,12920,154824,410695,98424,3397320
"24","24","C",407802,24529,339416,11396,72355,395360,85362,887854
"25","25","C",558843,31507,188272,12757,82713,389636,88659,765983
"26","26","C",567129,23450,672253,9995,114782,454543,80290,663460
"27","27","C",452920,31227,245434,12644,89637,373751,81074,465040
"28","28","C",357026,41863,218010,14341,80627,405091,92888,1415018
"29","29","C",585747,25706,261552,10651,78902,401020,76921,300035
"30","30","C",496707,27661,185850,8841,105281,382194,80448,211597
"31","31","C",531463,48395,164471,11054,51449,418956,86447,118082
"32","32","C",547712,26709,157670,11258,120672,443004,88923,622031
"33","33","C",537138,33414,195217,12058,107861,387553,77139,237295
"34","34","C",441152,33832,173753,10134,67871,400261,86765,227303
"35","35","C",464832,22408,152537,10205,73340,397517,81141,171312
"36","36","C",500734,50884,317829,10045,88396,340129,78904,3259297
"37","37","C",456323,33430,171326,10598,71587,391556,94713,3270350
"38","38","C",476949,29397,107076,10539,84197,373059,77195,142703
"39","39","C",411224,25493,136600,12425,90133,358042,77767,144710
"40","40","C",384549,26494,124682,9693,70050,354733,82401,252089
"41","41","C",367490,31257,191084,12275,78598,343004,78445,106098
"42","42","C",419417,18495,166916,11118,70967,373470,85596,461358
"43","43","C",467118,38637,133155,9531,77363,451605,72831,429726
"44","44","C",276282,36592,104044,11955,74712,353020,81934,161471
"45","45","C",398317,38877,158299,11689,89299,323707,80880,306071
"46","46","C",416166,34757,351044,8418,91737,347660,78293,993604
"47","47","C",458708,19012,253097,10309,61022,406798,80340,873892
"48","48","C",368820,18801,215612,8837,73785,356122,69735,858672
"49","49","C",427550,16635,212546,11370,78421,352514,74310,104263
"50","50","C",449289,24335,108451,11237,80095,371958,81281,132797
"51","51","C",496170,36800,170504,8333,124970,306048,78060,95319
"52","52","C",344961,24148,224058,9335,86740,337224,73818,825381
"53","53","C",347051,29918,166173,10942,73171,380650,69462,195568
"54","54","C",406965,15326,156050,11217,64883,381829,78361,135821
"55","55","C",502646,27654,164541,9452,83094,344677,79908,825225
"56","56","C",498205,36835,163501,8713,115773,337797,81510,1289472
"57","57","C",475665,22397,213423,12439,74889,385664,77929,1699864
"58","58","C",354311,30078,87516,9587,103894,379838,75192,436295
"59","59","C",489104,34401,188736,10445,74823,353964,67772,3287811
"60","60","C",399030,28785,144781,11268,77626,355049,81312,5130164
"61","61","C",411321,31593,188935,12156,113726,335790,78862,6202848
"62","62","C",485609,20303,335907,9436,86830,347472,74641,1138220
"63","63","C",656531,35159,272900,13574,75694,345834,78076,4853939
"64","64","C",357126,22650,164273,8504,69030,364157,73134,541691
"65","65","C",409190,40209,252253,12571,92016,342190,73688,4521932
"66","66","C",380904,19958,138269,13169,101323,323054,69183,538932
"67","67","H",310836,30040,190530,13306,59845,385214,91275,294361
"68","68","H",310008,27680,172236,12780,61461,349421,83101,751715
"69","69","H",431559,26025,185272,16348,72211,346292,78713,337154
"70","70","H",300536,36696,97288,15294,72827,345152,91649,84432
"71","71","H",318941,25879,173139,16508,67169,350422,86854,535028
"72","72","H",298260,37312,166480,12935,58641,349241,76086,611803
"73","73","H",255581,24833,271059,15631,56465,361304,75264,473569
"74","74","H",253327,30899,91928,15592,64327,383299,74630,160989
"75","75","H",234086,30514,116136,12211,62555,331359,90673,341807
"76","76","H",237308,25584,230431,10515,54614,333160,74689,486112
"77","77","H",364312,23908,184146,13622,99587,381096,74370,75063
"78","78","H",351938,34334,250453,13344,96176,342770,79828,36632
"79","79","H",361153,25061,153708,14150,88359,349658,76006,58437
"80","80","H",353378,30097,199769,10747,99508,343939,67018,63194
"81","81","H",327752,33414,231576,11088,81704,348474,69614,121571
"82","82","H",367872,22841,191870,11189,80977,347319,72677,179585
"83","83","H",350756,31349,167440,11072,81882,339628,70740,27376
"84","84","H",388374,28383,214186,12441,98034,301016,71019,37781
"85","85","H",241817,30541,325326,14752,72446,347625,67310,224916
"86","86","H",300509,23547,114140,9464,97839,347475,66474,66445
"87","87","H",327846,31367,235004,13418,71690,346122,64396,186504
"88","88","H",289511,22512,283649,11969,86139,335949,64327,511139
"89","89","H",525454,20748,285517,9899,80651,298621,74713,21590
"90","90","H",280601,21392,172993,11353,86392,335650,66232,61910
"91","91","H",353132,14663,279025,9218,91588,318777,60573,171091
"92","92","H",538426,31503,393224,11786,121242,374520,77855,753308
"93","93","H",407690,41610,212647,9903,96706,387949,72544,192732
"94","94","H",421373,38341,173719,9499,102676,338969,80364,87600
"95","95","H",380418,59907,222057,14089,109254,389982,82075,168531
"96","96","H",404896,41957,195650,16688,90125,349908,75250,616385
"97","97","H",405984,38805,188294,14068,87925,364356,84311,385147
"98","98","H",359270,36089,292671,14171,87700,349506,73327,257340
"99","99","H",481736,33329,207304,13104,112136,367099,78242,586397
"100","100","H",466164,28782,308239,12314,100447,373009,78594,198417
