"","sample_id","condition","sample_type","L-histidine","L-Histidine-13C","L-4-hydroxyproline","Asn_13C","o-phosphoethanolamine","o-phosphoethanolamine13C","L-asparagine"
"1","1358BZU_0001Blank_A1",NA,"Blank",432.805,0.625,0,0.784,9.575,0,88.766
"2","1358BZU_0001Blank_B1",NA,"Blank",51.85,29804.26,7.487,135452.719,40.845,465.414,4056.17
"3","1358BZU_0001QC_A1",NA,"QC",5582.9,29214.545,1796.809,132061.594,72.216,397.551,41783.547
"4","1358BZU_0001QC_B1",NA,"QC",5634.646,28727.332,2047.813,132556.797,44.194,401.764,41275.711
"5","1358BZU_0025_A1_11_0_Control","Control","Sample",8235.722,29538.568,3133.795,134959.109,2504.34,350.705,49717.25
"6","1358BZU_0026_A1_11_0_Ikaros","Ikaros","Sample",11917.588,30157.824,4762.443,136310.188,2055.652,302.231,71754.766
"7","1358BZU_0030_A1_11_6_Ikaros","Ikaros","Sample",12345.035,32541.709,4876.142,149676.344,1111.166,322.567,75796.219
"8","1358BZU_0029_A1_11_6_Control","Control","Sample",14604.598,35689.855,5837.459,156972.063,1945.351,311.483,86014.297
"9","1358BZU_0033_A1_11_18_Control","Control","Sample",15270.735,30916.24,5976.044,142472.063,3276.961,358.335,91248.313
"10","1358BZU_0034_A1_11_18_Ikaros","Ikaros","Sample",13253.644,33609.465,4760.113,152795.125,2836.632,328.615,71186.891
"11","1358BZU_0001QC_C1",NA,"QC",5607.159,29321.488,1843.826,130512.219,106.727,329.962,41102.637
"12","1358BZU_0028_A1_11_2_Ikaros","Ikaros","Sample",6680.776,30771.219,2593.73,142190.359,925.761,411.216,42199.605
"13","1358BZU_0027_A1_11_2_Control","Control","Sample",9048.898,29805.025,3083.637,137117.922,1603.048,356.747,54123.387
"14","1358BZU_0036_A1_11_24_Ikaros","Ikaros","Sample",9005.367,31551.857,2488.137,147792.391,3467.339,379.018,47835.438
"15","1358BZU_0035_A1_11_24_Control","Control","Sample",11414.248,32833.809,4315.767,153883.438,1524.547,354.762,67710.469
"16","1358BZU_0032_A1_11_12_Ikaros","Ikaros","Sample",10153.93,33613.953,3537.79,156446.125,2090.871,360.095,60546.871
"17","1358BZU_0031_A1_11_","Control","Sample",15306.429,30932.762,4689.279,137821.641,1748.089,249.262,81559.68
"18","1358BZU_0001QC_D1",NA,"QC",5300.154,29917.188,2021.438,134026.859,103.875,411.711,40789.102
"19","1358BZU_0040_A1_12_2_Ikaros","Ikaros","Sample",4888.025,30402.648,1568.85,141857.563,413.975,357.482,30787.148
"20","1358BZU_0039_A1_12_2_Control","Control","Sample",6598.046,29355.93,2188.677,135400.938,1445.004,382.56,42513.746
"21","1358BZU_0046_A1_12_18_Ikaros","Ikaros","Sample",9617.632,28511.145,2958.029,132537.156,1220.946,306.291,55456.008
"22","1358BZU_0045_A1_12_18_Control","Control","Sample",3870.042,30941.58,1318.884,144914.75,1218.001,485.161,25179.943
"23","1358BZU_0041_A1_12_6_Control","Control","Sample",9702.087,30636.451,3427.814,140070.516,1649.818,372.573,59083.176
"24","1358BZU_0042_A1_12_6_Ikaros","Ikaros","Sample",7105.777,29730.135,2575.368,138489.078,558.547,467.093,45106.957
"25","1358BZU_0001QC_E1",NA,"QC",5495.732,29793.699,2045.657,138625.703,56.178,383.943,42230.629
"26","1358BZU_0037_A1_12_0_Control","Control","Sample",12368.297,27825.645,4016.85,126059.367,3089.193,243.919,70920.516
"27","1358BZU_0038_A1_12_0_Ikaros","Ikaros","Sample",2438.9,29030.357,915.472,137362.297,648.011,449.622,18761.514
"28","1358BZU_0047_A1_12_24_Control","Control","Sample",6854.259,28379.316,2236.318,136095.406,1307.483,514.356,44431.004
"29","1358BZU_0048_A1_12_24_Ikaros","Ikaros","Sample",3105.176,31506.375,894.036,144014.719,2155.002,442.033,20459.266
