"","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"1","-1.43941029","-2.175345369","-0.89896398","-1.067379027","-1.948597253","-1.203439425","-0.979482161","-1.691369824","-1.26486603","-1.474503896","-0.655864216","-2.862976593","-1.6824148908","-2.218967355","-1.24287210","-1.472105e+00","-0.96280942","-1.40445101","-2.526760276","-0.81901478","-1.625006537","-7.348854e-01","-0.755459972","-1.6112422265","-1.2018188599","-1.54179620","-1.544767666","-1.27059284","-1.018500780"," 0.2032316869","-1.635700686","-1.029538427","-1.93543590","-0.033207277","-1.486548689","-2.098858493"," 0.110456650","-1.4523639836","-0.581109980","-0.878079826","-1.771466250","-2.25612753","-0.506092301","-1.893106387","-1.470986819"," 0.3372022205","-2.414164930","-2.039692239","-1.16799049","-1.3734942291","-1.561360209","-1.5167367744","-1.738707877","-1.073544e+00"," 0.307193211","-0.0604276207","-2.132565009","-1.91123980","-0.593742226","-1.40113362","-0.873771324","-0.58381138","-1.835592982","-1.27550057","-1.336546378","-1.03237684","-2.362436507","-2.83015298","-1.875678612","-0.8169320709","-1.163927649","-1.27677949","-1.881493337","-2.330369538","-0.583023571","-1.442438386","-0.824599634","-2.615354555","-1.817969786","-0.594432936"," 0.422139270","-0.342348526","-1.321101728","-1.468348105","-1.2698075607","-2.907658530","-1.10461104","-0.046221577","-1.875935270","-1.600091995","-1.519734487","-2.16341708","-1.90856051","-0.81989865","-2.304748737","-0.613922090","-1.446483422","-1.7587202139","-0.776921794","-1.201229633","-1.565682837","-2.34256940","-1.88059901"," 0.502869069","-2.18446198","-1.257953146","-1.187731061","-1.54631847","-2.034443919","-1.827132036","-1.351940559","-2.048300275"
"a","-0.24557070"," 1.254885466","-0.15791309"," 0.752063568","-0.302446902"," 0.852161928"," 0.801730370","-1.777103729"," 0.61156898","-0.477496606"," 0.247637518","-1.485444577","-0.9631417614"," 0.670017448","-0.61255796"," 7.498594e-01"," 1.15648347"," 0.53939033","-1.341644975"," 1.22175353"," 1.141767242"," 8.974476e-01"," 0.734841105"," 1.1650261610"," 0.8926839796"," 1.33112057","-0.337218640"," 0.25624394"," 0.800062667"," 0.8533943680"," 0.127254106"," 0.739854331"," 0.12177270"," 0.115334670"," 0.631432154"," 1.015891343","-0.703123755"," 0.5764754203"," 1.061444105"," 0.868956788"," 0.119014229","-1.30705721"," 0.902422488"," 0.210527532"," 0.706567974"," 1.4144822709","-0.263590961"," 0.458658490"," 0.83962209"," 0.2317591915","-0.607748030","-0.5853118513"," 1.996470365"," 5.284538e-01"," 0.848614178"," 0.7784256586"," 0.727030860"," 0.09382114"," 1.455361368"," 0.97339115"," 0.560567837"," 0.16168657"," 1.630683490"," 0.25841825"," 0.023523766"," 0.55337262"," 1.027449266","-0.02125456"," 1.214434212"," 0.0009846271","-0.061846023"," 0.70795582"," 0.987140782","-0.129163345"," 0.793741822","-1.448544191"," 0.662290446"," 1.146853283"," 1.240865403","-0.280044288"," 0.105480236"," 2.798241109"," 0.164770753"," 1.327900782","-0.0045464816","-0.004213963"," 0.10808962","-0.194880266"," 0.052864852"," 0.849300523"," 1.307699415","-0.43730743","-0.68814426"," 1.19126923","-0.748254630"," 1.018070635","-0.624914187"," 0.7625868191","-1.551401999"," 0.763593699","-0.039445290"," 1.56777785"," 0.89114908"," 0.493141205"," 1.05693388"," 0.875477473"," 0.880398651"," 1.19057869"," 0.633514968"," 1.089630109","-1.095107801"," 1.420775181"
"3"," 2.42790936"," 2.097246423"," 3.21355162"," 2.925502354"," 2.337777096"," 2.433577238"," 2.342122483"," 0.236141514"," 2.67807532"," 3.201105385"," 0.711546749","-0.611685197"," 0.5526165312"," 2.857628881"," 2.01632461"," 2.071144e+00"," 2.32273789"," 2.51017948"," 0.827188996"," 1.91542204"," 1.857881684"," 2.044944e+00"," 2.347612250"," 2.7995645625"," 2.6084614755"," 2.32843734"," 3.207587124"," 0.78155368"," 2.907569933"," 3.0413279122"," 2.915874602"," 2.736063225"," 1.11061186"," 1.632610440"," 2.417979350"," 1.585521521"," 1.818127987"," 2.3304341330"," 2.591037393"," 2.071384524"," 1.962862583"," 0.28019584"," 2.540261539"," 2.055660777"," 2.760917189"," 2.6791443880"," 2.342516240"," 2.223687483"," 2.28936261"," 2.0953793135"," 2.607343243"," 1.8902227583"," 1.491822502"," 1.669883e+00"," 1.767070613"," 2.3113430479"," 2.180242012"," 0.67950312"," 2.127549496"," 2.68128583"," 2.395702664"," 2.23393743"," 2.519429913"," 1.73033066"," 2.699190582"," 1.32786543"," 3.397427871"," 2.17812575"," 2.516885335"," 1.3177523924"," 1.852521240"," 3.24818822"," 1.876888555"," 3.077018693"," 2.493357739"," 0.805000034"," 3.150691765"," 1.447634247"," 1.713946178"," 3.600334820"," 1.077026627"," 1.496944444"," 3.069263065"," 1.870655741"," 6.3356343033"," 2.194043355"," 2.25797793"," 1.135216876"," 2.299107028"," 2.639030637"," 2.599657742"," 2.85332236"," 1.67315432"," 2.51748192"," 1.169788557"," 3.342993202"," 1.224461229"," 1.8714566595"," 0.073781213"," 1.952137102"," 2.336352698"," 1.73131652"," 1.54112669"," 2.471671783"," 2.05169864"," 2.273172157"," 2.680881592"," 2.91796281"," 2.014062320"," 5.980651766"," 7.753302202"," 2.202065609"
"4","-0.57133271"," 1.071256242","-0.69662676"," 1.207696863","-0.193381029"," 0.728725380"," 0.724130299","-0.899016471"," 0.47076050","-0.640807625","-0.136455175","-1.277737427","-0.1543361909"," 1.661991000","-0.92259123"," 9.965347e-01"," 2.38677345"," 0.77249800","-1.838498584"," 1.52073938"," 1.167541892"," 6.222954e-01"," 0.914278665"," 1.1047335113"," 0.5195472977"," 2.00536296","-0.891930968"," 1.09172631"," 0.901967500"," 0.3479923369"," 1.286287796"," 0.550611501","-0.29621607","-0.507503858"," 1.028088344"," 0.765484529"," 0.015373763"," 0.6835744681"," 1.226425282"," 1.136374552"," 0.678844864","-1.60547645"," 2.347530090"," 0.611565828"," 0.531105013"," 1.3948063301","-0.488896731"," 1.385832333"," 1.03372626"," 1.6110942571"," 0.351622212","-0.1357378816"," 2.776282878"," 1.397948e+00"," 2.058839049"," 2.6116256934"," 1.121840992","-1.14242889"," 1.071088788"," 1.36981759"," 2.174308571"," 1.24833457"," 0.766361657"," 3.02296587"," 0.315505431","-0.90239852"," 0.866872762","-0.06496132"," 1.571516854"," 0.3486569766"," 0.803534150"," 0.80382665"," 1.101503037"," 0.652000372"," 2.112483348","-1.064580754"," 1.012378443"," 1.306446308"," 1.145269932","-0.688340258","-0.382810187"," 1.304994750"," 0.077112536"," 0.768550207","-0.2406880759","-0.233883499"," 1.17061370","-0.786508593"," 0.703791399"," 0.580555905"," 1.505734022"," 0.15651996","-1.06249835"," 1.24558557"," 0.018651070"," 1.268039382"," 1.377427684"," 0.7610466427","-3.334247374"," 0.663852932"," 1.837350004"," 0.89622019"," 0.99756257"," 0.387474000"," 0.01206655"," 0.625486182"," 1.316591655"," 1.10348469"," 1.425605129","-0.353278999"," 0.001965112","-0.004221444"
"5"," 1.37301560"," 1.630429937"," 0.65882217"," 1.614274498"," 1.604207246"," 1.355926270"," 1.257150024","-1.244951667"," 1.77495012"," 0.827012390"," 0.241644064"," 0.864744549"," 0.2516115416"," 1.585410162"," 0.75907730"," 1.325467e+00"," 1.38470126"," 1.19603423"," 0.187589155"," 1.45702893"," 1.293459207"," 1.329598e+00"," 1.051707560"," 0.7054905559"," 1.1401577389"," 1.08159896"," 0.824494272"," 1.52199624"," 1.112668999","-0.0857393259"," 1.157610306"," 1.242349897","-0.30462796","-0.878039131"," 1.365182138","-0.659207642"," 0.388016012"," 1.4345456151"," 1.049612637"," 0.670634936"," 0.989934520"," 1.43581937"," 0.716643588"," 1.265706250"," 1.502448356"," 1.3877225676"," 1.582114541"," 1.161832670"," 1.24615846"," 0.3578765722"," 0.825608867"," 0.8728540272"," 0.256884187"," 1.432298e+00"," 1.275380626"," 1.4050114038"," 0.992016654"," 1.30926390"," 0.483619038"," 0.76962222"," 0.371434515"," 1.13279970"," 1.726687955"," 1.88990765"," 1.845766007"," 1.42950716"," 1.353591383"," 1.84268654"," 0.776851143"," 0.2876874333"," 0.296510935"," 0.85695401"," 0.400977777"," 0.851785788"," 0.646104681","-0.666490610"," 0.830134633"," 1.135648399"," 1.398742215"," 0.836406525"," 0.397557323"," 1.052866819"," 0.887935239"," 0.797295543"," 0.4505933817"," 1.980207491"," 0.23776982","-0.652332080"," 1.003291110"," 0.917938307"," 1.567649618"," 0.85524148"," 1.57471359"," 1.12449086"," 1.899705462"," 0.873773161"," 0.299674072"," 1.4372842496"," 2.069245494"," 0.547816527"," 1.171599680"," 1.87797185"," 1.96770717"," 1.385381309"," 1.22533146"," 0.507519818"," 0.862079419"," 0.76221955"," 0.607237138"," 1.097087633"," 0.961999341"," 1.355261370"
"6","-0.93925763","-0.835701763","-1.03491626","-1.373001058","-0.226239581","-0.705536461","-0.946916195","-0.437936906","-0.78796925","-1.083363687","-0.648186161"," 0.236080089","-1.8003091283","-0.774209330","-0.10379317","-6.579316e-01","-0.49428466","-0.70543590","-0.254283942","-0.88769965","-0.593486440"," 1.593159e-01","-0.975816339","-0.0718957202","-0.3189747360","-0.47515561","-1.177079654","-1.34367285","-0.838608107","-0.4074296593"," 0.057797539","-1.032933830","-1.40144005","-0.805888082","-0.765524345","-0.536127589","-0.875055891","-0.7254463883","-1.229913666","-0.904848094","-1.084119090"," 0.70228665","-1.348289133","-1.140965183","-0.853971005"," 0.5801830684","-0.048709808"," 1.212722059","-0.77428004","-1.2750396757"," 0.046014265"," 0.3070077528","-1.578491050","-1.196448e+00"," 0.698951658"," 1.4072077639"," 0.271103741","-1.25836661","-1.354688775","-0.57449727","-1.183076555","-0.29245885","-0.559813810"," 0.72621023"," 0.406016599","-1.31382980","-0.373213521","-0.13325645"," 0.050292184","-1.4072658704","-1.589840703","-0.83320810","-0.373812233","-0.562446742","-1.567441739","-1.436509712","-0.566592101","-0.506331133","-0.494089324","-0.734460077","-1.798603577","-0.331466851"," 0.406121058","-0.237964036","-0.5824426464","-0.048653013","-1.26918970","-0.523383177","-0.863382562","-0.298800112","-0.805969911"," 0.47002765"," 0.35439377","-1.11820795","-0.070051334","-1.176290623","-0.374160628","-0.4624352154"," 0.259703379","-0.446557119"," 0.118272842","-0.82545123","-0.88371137"," 0.545368525","-0.17854474","-0.349756540","-0.605723479","-0.36263318"," 0.064139524","-0.117326935","-0.351512825","-0.263357605"
"b"," 0.31107439"," 0.814631510","-0.16019990"," 0.219773716"," 0.169770842","-0.051676057"," 0.056191271","-0.539765739"," 0.08585592"," 0.592225472","-0.065685058"," 0.469528601","-0.0006161760"," 0.685890567"," 0.14020439"," 4.139050e-02","-0.02946449"," 0.13308088","-0.201962886"," 0.65222032","-0.125196317"," 2.495739e-01"," 0.110839982"," 0.3284757047"," 0.5801236423","-0.14931813"," 0.535406426"," 0.50351400","-0.231129811"," 0.1883834563"," 0.637570884"," 0.087873654"," 0.93434405","-0.094449920"," 0.026610453"," 0.699552926","-0.461153831"," 0.1302054791"," 0.008313484","-0.038418240"," 0.125855604"," 0.08620741"," 0.210037260"," 0.114255788","-0.321451777","-0.4518288714"," 0.516389705"," 0.246737118"," 0.11006579","-0.0769067903"," 0.787934198"," 0.0704564817","-0.176849947","-6.080196e-01"," 0.318185683"," 0.2839986026"," 0.650396428"," 0.67985514"," 0.133128759"," 0.44859666","-0.008831569","-0.30433842"," 0.384069428","-0.30217286","-0.387816496"," 0.75163389","-0.106695679"," 0.48063412"," 0.577855312","-0.1458089386","-0.078959974"," 0.84632877"," 0.428435636"," 0.244376265"," 0.132339103","-0.564898769"," 0.464354177"," 0.401049615"," 0.003488077"," 0.543245497","-1.071656299","-0.466923629"," 0.240661648"," 0.789749217","-0.0697255647"," 0.567471535","-0.48996921"," 0.051028818"," 0.657108464"," 0.239793181"," 0.396701429"," 1.38452416"," 0.88588224","-0.20297344"," 0.191788626"," 0.062433337"," 1.409949373","-0.0113208643"," 0.148958049"," 0.379584944"," 0.379593040"," 0.41789600"," 0.31052569"," 0.085952484"," 0.55189198"," 0.449953703"," 0.495187976"," 0.49642855"," 0.736070376"," 0.344084287","-0.093322586"," 0.363986041"
"8","-2.24235080","-1.476573522","-1.59635631","-1.787345881","-2.160887479","-2.436819282","-2.532069100","-1.321027842","-1.72936931","-2.284630571","-0.163006919","-0.528718108","-1.8044102983","-2.748362656","-1.48943824","-1.977503e+00","-2.52601225","-2.14790461","-1.248170810","-2.50610151","-2.339638407","-2.175941e+00","-1.861537127","-1.1669045119","-2.2069466363","-2.45582668","-2.286214499","-1.99924871","-2.438589504","-0.2659710301","-0.506838089","-2.331078271"," 0.45232959","-1.008064123","-2.265235790","-1.229330372","-1.384154822","-2.1453648682","-2.446363115","-1.969742346","-2.241205910","-1.42725067","-2.574347031","-2.112013015","-2.065392952","-1.8393853656","-2.696492038","-3.097811167","-2.06159281","-1.6357817395","-2.341571408","-1.9823711958","-1.640586074","-1.771376e+00","-1.315503438","-1.0859162421","-1.422992761"," 0.65325586","-2.199005562","-2.14726720","-2.422934856","-1.68527259","-1.509373771"," 0.73387908","-2.136807281"," 0.62052919","-3.010005678","-2.44984752","-2.231155833","-1.2079568026","-1.997712833","-1.80581117","-2.322838841","-2.375682421","-2.604005691","-1.139117419","-2.411844327","-2.259724060","-2.292901092","-2.433015385","-0.911775472","-1.073243544","-2.761240070","-2.250583030","-1.9028507424","-2.265553083","-1.82235686","-1.033492402","-1.525092429","-2.762050129","-2.687958609","-0.75301693","-3.47335105","-1.78418091","-2.344091676","-2.493120781","-1.732502668","-2.3858199925","-0.458804437","-2.355238896","-1.768396154","-1.37256755","-2.48112502","-1.214711270","-2.04120403","-2.391418601","-2.192038788","-0.84108013","-1.610517388","-1.797792471","-2.167134756","-1.955472995"
"9","-0.70499070","-1.206913286","-0.88528136","-0.814883221","-0.266963783","-1.052671994","-0.936245482"," 1.060868918","-1.87069389","-0.537550170","-0.767043886","-1.257562166","-0.3530651324","-1.202697863","-0.15095571","-9.740119e-01","-0.84009756","-1.06162767","-0.244920839","-0.88760302","-1.238589373","-7.794313e-01","-1.030993047","-0.6228624442","-0.8998088301","-1.20590953","-0.694134021","-0.94100584","-1.905882581","-1.2630449952","-2.354280927","-0.922557017","-0.77221258","-0.164424218","-1.092126512"," 0.380176415","-1.196926401","-0.9997064007","-1.016654716","-0.363894079","-0.868581708","-0.21701392","-0.684897518","-0.863741088","-1.237172131","-1.0113345859","-0.480670471","-0.360877622","-0.92593476","-0.7428638923","-0.459653081","-0.3418545643","-1.206346406","-2.035319e+00","-0.653210497","-0.5800881492","-0.518795004"," 0.20393726","-0.987994547","-0.74604125","-0.747168668","-0.36347972","-0.941507027","-1.34115918","-0.323723832"," 0.20456966","-0.968334785","-0.88051106","-0.441933681","-0.5895154231","-0.184183124","-1.14318627","-1.059415068","-1.388852871","-0.690021592"," 0.831565495","-1.209880217","-1.356654289","-1.147835003","-0.759526827","-1.424313612","-0.507566923","-0.086264175","-0.777402571","-0.6323213611","-0.809491839","-1.34924385","-1.672529489","-0.325662776","-1.325540857","-0.861754248","-0.42288325","-0.26085519","-1.07632756","-0.376556199","-0.986237907"," 0.226694409","-1.0825827423"," 0.074470943","-1.302971682","-1.471445339","-1.53606591","-1.02477381","-0.499523245","-1.11741110","-1.181341827","-0.750487258","-0.67639883","-0.558348580","-1.358056752","-0.785520402","-1.316327103"
"10"," 1.70898334"," 0.620510121"," 1.62825553"," 0.918086968"," 0.852354457"," 0.873417164"," 1.219798929","-0.343595886"," 1.24917483"," 0.845403962"," 0.408590665"," 0.773720392"," 1.4919708514"," 0.240963396"," 1.49763610","-1.802568e-01"," 1.19321301"," 1.14585743"," 1.218186145"," 1.05899623"," 0.284854515"," 8.385970e-01"," 0.915013785"," 0.9051993669"," 0.8455395885"," 1.61956764"," 0.887932675"," 0.86814610"," 1.661020215"," 1.9409273334"," 3.506060614"," 1.573828895"," 1.33836208"," 1.509077328"," 1.226300135","-0.563511825"," 0.479060807"," 0.9792429275"," 1.542192661"," 1.425667549"," 1.328466854"," 4.09861946"," 2.238427885"," 1.637134759","-0.303614528"," 1.2079850797"," 0.957804707"," 1.193072090","-0.23550353"," 1.2815212426"," 1.311098039"," 1.4412957668"," 0.521184228","-4.954479e-02"," 1.880340338"," 1.8996665766"," 0.974726300"," 0.06911057"," 0.333931667"," 1.46976535"," 1.178082246"," 0.24688113"," 0.081826540"," 1.91446110"," 0.156889571","-0.09060971"," 0.818956928"," 1.00989484"," 0.606091845","-0.7272336339","-1.626319828"," 2.26839739"," 0.476909947"," 0.848536289"," 2.363084201","-1.039419836"," 0.547073091"," 0.302998879"," 0.250318605"," 2.096707450","-0.386669912"," 0.603957537"," 0.381121006"," 0.786810785"," 2.3517241821"," 0.763967415"," 1.44607607"," 1.001332397"," 1.090104567"," 1.123565424"," 1.072181478"," 1.97160470","-0.76879751"," 1.19361199"," 1.538531522"," 1.217221845"," 1.248606952"," 0.3171563391"," 0.217065148"," 2.035175109"," 1.382846417"," 0.26775113","-0.01814992"," 1.423114982"," 1.07886319"," 1.917429980"," 1.370098691"," 0.58588523"," 0.926245503","-0.023152649"," 1.366279183"," 1.136910028"
