"Sample","Label","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"1","C","1.368998"," 0.063079061","1.1346943","-0.0704067796","0.5742600","1.386210","0.7726316","0.8324490","1.978786","1.413569"," 0.16383261","-0.12294213","0.6761487","2.330877"," 0.62351376","1.993825","0.5399828","1.1270159"," 0.03868731","3.064225","1.553693","1.919055","3.443711","0.8417009","0.8187258","2.659301","1.551861","2.720797","2.842949","1.1646565","-0.413101354","1.1759017","-0.1683938263"," 0.5902588090","1.756397","1.630905"," 0.750772840","1.1171867","1.502145","0.9905119","1.714979","0.7528375","2.254074","1.452175","0.16056097","1.5012331","3.403891","1.834707","3.316556","1.320104","0.4648488","1.1536288","0.9435637","1.1309135"," 1.51756487"," 0.601559113"," 0.2129618","-0.7291180448","3.167356","1.841016","1.783302","1.940973","1.873563","0.6382434","0.6613177"," 0.308882864","0.19728952","2.964325","3.051239"," 0.5630047","1.651487","0.5565639","2.682767","2.179236","2.204325","2.538659","0.6638108","1.337791","1.779343"," 3.932621e-02","1.8087366"," 0.58797603","0.6712114","2.303289","0.5764453","0.5190443","1.328662","1.2828451","0.7773396","2.752357","3.201903","-0.389510450"," 0.3795881","0.7096586","0.6326316","0.8511381"," 0.144784996","2.144257","2.765492","0.7468843","2.047046","1.631414","1.0961495","2.787627","2.116177","2.201314","3.573189"," 0.018774657","2.064309","1.770911","-0.032221052","0.5840523"
"a","C","1.633601"," 0.853138217","1.3323676"," 0.3288291449","0.9421803","1.817925","1.1434563","0.7881383","2.491443","1.673506"," 0.66990292"," 0.29468056","0.9570938","3.005205"," 0.83045107","2.480157","1.0101682","1.5380185"," 0.44795201","3.507707","2.154609","2.427195","3.792405","1.4282142","1.2493073","3.323699","1.868527","3.074698","3.278866","1.3831153"," 0.131839904","1.5505307"," 0.4531811032"," 0.6578094608","2.193453","2.383425"," 0.367278342","1.5457189","1.855882","1.3888320","2.131409","1.0776346","2.587334","1.899902","0.65958727","1.8673594","3.862697","2.534882","3.750764","1.726657","0.6960616","1.4126226","1.8863477","1.5129715"," 1.86165142"," 1.085844514"," 0.8660411"," 0.4158488835","3.635500","2.359028","2.118314","2.141474","2.747349","1.3925568","1.0647594"," 1.208703475","1.00627135","3.599025","3.738392"," 0.7745552","1.934446","1.0705473","3.260822","2.741477","2.529891","2.535729","0.9996399","2.160751","2.447135"," 1.190517e-01","1.7122882"," 1.61617612","0.9814847","2.924692","1.0032663","1.1780632","1.663959","1.2362166","1.2037272","3.291462","3.872416"," 0.033770605"," 0.8706644","1.2649960","1.0861294","1.2101104"," 0.347163875","2.673016","2.356766","1.1875084","2.397779","2.504351","1.7064246","2.783712","2.868388","2.677060","4.017991"," 0.610855759","2.658253","2.561749"," 0.056393872","1.3802888"
"3","C","2.226152"," 1.047152853","2.2316966"," 0.8057416046","1.5322795","2.150052","1.4641454","1.8286637","3.056029","2.632581"," 0.92974823"," 0.55957585","1.5491427","3.515823"," 1.69353481","2.769353","1.2689129","1.9547189"," 1.19693161","3.658449","2.310142","2.784407","4.169754","1.7735261","1.6020316","3.554341","2.798112","3.196458","3.784044","2.1182749"," 0.993821373","1.9731829"," 0.7519537365"," 1.3478028857","2.562116","2.521047"," 1.555711797","1.9161907","2.185292","1.6629826","2.537567","1.6208348","2.974853","2.292611","1.13037877","2.2971697","4.418687","3.029540","4.064315","2.198645","1.4755926","2.1009745","1.7589712","1.7851892"," 2.44535343"," 1.970825870"," 1.1979279"," 0.7502958236","3.789070","2.731612","2.546938","2.698804","2.971386","2.1163782","1.8584505"," 1.648183114","1.57185667","4.095998","4.028020"," 1.1151313","2.425959","1.7283868","3.440114","3.560413","2.931802","3.617140","1.5616704","2.226545","2.550416"," 1.103073e+00","2.0082030"," 1.19014359","1.5879879","3.045307","3.1420520","1.6770199","2.258377","1.6534168","1.7002897","3.685377","4.178798"," 0.840707319"," 1.8208138","1.6311989","1.6449676","1.7214992"," 0.802724414","2.905564","3.214444","1.4540468","2.943743","2.540859","1.8495347","3.579976","3.099237","2.988740","4.405229"," 0.984545902","2.965592","3.887879"," 3.109357935","1.5596138"
"4","C","1.561399"," 0.810844285","1.1886672"," 0.4288076661","0.9665569","1.792001","1.1273010","1.2419688","2.452973","1.630928"," 0.45476453"," 0.35765058","1.2730099","3.236745"," 0.72866460","2.534148","1.2831198","1.5873064"," 0.27636985","3.572680","2.160207","2.341541","3.834389","1.4154768","1.1725990","3.479626","1.723060","3.268352","3.303293","1.2132970"," 0.490105062","1.5104628"," 0.3268879608"," 0.3745686041","2.275305","2.322927"," 0.705953958","1.5683404","1.891412","1.4498026","2.254727","0.9755076","2.929252","1.985257","0.61937674","1.8606723","3.814630","2.794727","3.792745","2.075993","0.9286705","1.5376320","2.0831776","1.7203358"," 2.63077956"," 2.144184555"," 0.9562085","-0.2900974410","3.547708","2.445510","2.495228","2.433727","2.529469","2.7520390","1.1513708"," 0.382638003","0.96795045","3.589149","3.817797"," 0.8644791","2.156632","1.0953748","3.283867","2.941005","2.841736","2.719982","1.0787108","2.195661","2.426265"," 1.551235e-02","1.5635641"," 1.12730103","0.9631803","2.800389","0.9236067","1.1259332","1.957734","1.0506456","1.3476234","3.232312","3.919379"," 0.179390488"," 0.7200302","1.2799942","1.3095739","1.2650934"," 0.840404963","2.672693","1.415883","1.1651409","2.829071","2.354434","1.7298544","2.741186","2.625912","2.621313","4.111805"," 0.592014455","2.834589","2.170525"," 0.434916587","1.0532177"
"5","C","1.992345"," 0.939634538","1.5502295"," 0.5180220213","1.3683241","1.923725","1.2382686","1.0631757","2.809288","2.013614"," 0.66654586"," 1.00718110","1.4315714","3.218870"," 1.28077019","2.606143","1.0608005","1.6768582"," 0.97605383","3.558835","2.187555","2.561722","3.866544","1.3311329","1.3001822","3.265994","2.173173","3.368083","3.353799","1.0675604"," 0.450329979","1.6569228"," 0.3243463504"," 0.2060646926","2.344866","1.978723"," 0.881605008","1.7269608","1.853334","1.3436151","2.323253","2.0163199","2.543378","2.124481","0.84197774","1.8582648","4.256462","2.731950","3.838690","1.758598","1.0435933","1.8180830","1.4472645","1.7285278"," 2.13287216"," 1.447583970"," 0.9265590"," 1.1099134535","3.413493","2.314575","2.074139","2.402654","2.771550","2.1948511","1.6052966"," 1.705858887","1.08410378","4.020202","3.641086"," 0.8487096","2.026454","1.1091331","3.142705","2.992035","2.494979","2.911014","1.0375492","2.158300","2.481602"," 4.021713e-01","1.8012494"," 1.04475667","1.1324927","2.806777","1.1568024","1.6284838","1.699814","1.0927316","1.4138319","3.306569","3.934062"," 0.350732778"," 1.7812028","1.2465567","1.8576351","1.1783708"," 0.574919647","2.814511","4.267535","1.1391190","2.676080","2.573598","1.9434579","3.142796","2.907467","2.595007","4.014051"," 0.518187551","2.652403","2.563771"," 0.766156889","1.3652518"
"6","C","1.479852"," 0.371629053","1.0984294","-0.1374686890","0.9592129","1.490779","0.7794114","1.4802731","2.109078","1.515546"," 0.16813325"," 0.81659058","0.6300997","2.668103"," 0.99748273","2.172027","0.6439295","1.2748145"," 0.82345850","3.049299","1.777729","2.197417","3.392153","1.1669026","1.0002182","2.905975","1.648283","2.703858","2.886070","0.9594704"," 0.110370409","1.1751828","-0.0070497458"," 0.2388759654","1.905184","2.008459"," 0.286235303","1.2707265","1.362420","0.9844088","1.866386","1.7652855","2.054807","1.612257","0.30196137","1.5838130","3.908540","2.746212","3.401708","1.345039","0.8545728","1.6607427","0.9840035","1.1016023"," 1.76653715"," 1.448851969"," 0.7619157","-0.3563023362","2.993508","2.021350","1.711059","2.019332","2.195164","1.6225962","1.1782194"," 0.149174677","0.67200913","3.573717","3.479520"," 0.4103175","1.542134","0.6714348","2.986578","2.630806","1.971538","2.541504","0.7220844","1.799127","2.068367"," 3.816873e-03","1.1323400"," 0.59153859","1.0318824","2.576714","0.8083198","1.1679765","1.283158","1.1331779","1.0011782","3.038768","3.371169"," 0.256269650"," 1.2901653","0.6272874","1.2837297","0.7274398"," 0.408932527","2.416109","3.312563","0.9161244","2.434023","1.970092","1.3156412","2.804731","2.581678","2.403838","3.698364"," 0.274844815","2.531498","2.234500"," 0.312956208","0.9937397"
"b","C","1.756976"," 0.751737849","1.3317576"," 0.2120300594","1.0477226","1.628102","0.9882450","1.4276439","2.347814","1.952401"," 0.49440436"," 0.88736454","1.3330523","3.008910"," 1.07758913","2.325091","0.7470543","1.4521091"," 0.84152692","3.383941","1.879437","2.225514","3.646404","1.2514849","1.1850521","2.981329","2.097363","3.132012","3.031685","1.1596674"," 0.289582274","1.4124885"," 0.6986953316"," 0.5624082222","2.068645","2.306998"," 0.481334843","1.4514576","1.629082","1.1819527","2.132916","1.5544468","2.423513","1.879412","0.42399784","1.2330716","4.029099","2.475490","3.592975","1.648483","1.0344587","1.5949668","1.3377871","1.2419357"," 1.52455086"," 0.800402696"," 0.8485392"," 0.7504968387","3.333419","2.244542","1.985322","2.016137","2.433100","1.1168829","0.9427423"," 1.321205221","0.73561248","3.712432","3.596835"," 0.7365877","1.930052","1.1063815","3.148238","2.836888","2.373488","2.959765","0.9549340","1.997611","2.176996"," 3.278289e-01","1.3537545"," 0.54719129","0.9973319","2.805100","0.9812789","1.3078234","1.498603","1.3133488","1.3373035","3.157311","3.656377"," 0.480524841"," 1.5040279","0.8800082","1.3600190","0.9999089"," 0.848416099","2.510715","3.254118","1.1013920","2.494075","2.247654","1.5785847","2.619838","2.751186","2.582170","3.935142"," 0.460688194","2.681084","2.359605"," 0.402039503","1.1377302"
"8","C","1.191034"," 0.224021902","0.9486668","-0.2283873797","0.5268124","1.127177","0.4494037","1.0238565","1.851880","1.202355"," 0.43989234"," 0.58472876","0.6284978","2.207309"," 0.54256407","1.883206","0.1931713","0.9698213"," 0.48023214","2.697602","1.398482","1.470459","3.184916","0.9355715","0.6120947","2.447920","1.357425","2.551904","2.502548","1.0070014","-0.064162285","0.9003300"," 0.5530571564"," 0.1469347762","1.595711","1.840982"," 0.046263153","0.9708108","1.100448","0.7416155","1.611506","1.0365012","1.764717","1.405584","0.02434199","0.7614942","3.343659","1.538164","3.123287","1.253676","0.2756788","1.0241536","0.9683303","0.9644887"," 0.48630061"," 0.009525702"," 0.3750151"," 0.7353076306","2.800613","1.678244","1.421471","1.644736","1.955797","1.6263674","0.4239339"," 1.246810928","0.04274989","3.050259","2.972191"," 0.4618679","1.437413","0.4195615","2.593832","2.167662","1.726420","2.684214","0.3053156","1.415583","1.675658","-4.269180e-01","1.4024512"," 0.34868774","0.3704881","2.129455","0.3628956","0.6647883","1.130214","0.9731763","0.8548982","2.496613","2.924864","-0.043648493","-0.2500590","0.4433944","0.6211687","0.4377905"," 0.074329273","2.012744","2.933376","0.4880904","2.000462","1.847955","0.9639275","2.096383","2.149422","1.948556","3.357188"," 0.171340965","2.158684","1.778866","-0.313487244","0.6053584"
"9","C","1.531775"," 0.286130707","1.1383441","-0.0150022306","0.9501109","1.417874","0.7816329","2.2549157","1.813269","1.657849"," 0.10155854"," 0.36376706","1.1953872","2.568088"," 0.98199888","2.102845","0.5672076","1.1995019"," 0.82669193","3.049320","1.637619","1.905188","3.379243","1.0505056","0.8808121","2.736979","1.774930","2.797191","2.630240","0.6719782","-0.635219370","1.1985526"," 0.1830680772"," 0.5305868444","1.837788","2.229837"," 0.134516347","1.2127972","1.408347","1.1077450","1.913864","1.4506764","2.211768","1.671260","0.21414386","1.0429170","3.816385","2.305203","3.368908","1.479820","0.7319687","1.4803188","1.0779353","0.9015414"," 0.90720432"," 0.301549548"," 0.5815173"," 0.4787294263","3.077284","1.983927","1.812872","2.000231","2.098946","0.6059554","0.9617543"," 1.010778078","0.52998597","3.404867","3.370063"," 0.6218250","1.903036","0.5911603","2.848423","2.419722","2.179023","3.629888","0.5767913","1.613124","1.925644","-2.539778e-03","1.2463417"," 0.53388505","0.9290647","2.456836","0.7914938","0.9952826","1.261024","0.7727350","1.1200485","2.812785","3.357940"," 0.037307740"," 1.0425988","0.6388517","1.1944269","0.7692437"," 0.556942413","2.286054","3.214808","0.7240680","2.068702","1.811456","1.2845825","2.384212","2.363801","2.218398","3.667229"," 0.206966960","2.392919","1.898094"," 0.163210713","0.7520578"
"10","C","2.066809"," 0.707027336","1.8088232"," 0.3652592613","1.2002824","1.822389","1.2304926","1.5290323","2.665642","2.018409"," 0.76005616"," 0.97958555","1.9160506","2.905058"," 1.52324511","2.276578","1.0183170","1.6662489"," 1.33195757","3.472338","1.968496","2.408875","3.834561","1.3733233","1.2396155","3.390406","2.189809","3.216529","3.485241","1.7485333"," 1.176251864","1.7271060"," 0.8207672874"," 1.2916252041","2.316207","2.001843"," 0.924520469","1.6307916","1.959415","1.5157607","2.397824","2.9276009","2.903438","2.203534","0.42808557","1.7971789","4.123271","2.740705","3.518235","1.992524","1.1613050","1.9761450","1.5139756","1.3751255"," 2.51733917"," 1.733157484"," 0.9226102"," 0.4017381982","3.379295","2.467314","2.262544","2.164387","2.356910","2.2069254","1.1043201"," 0.843280950","0.95651554","3.832024","3.603114"," 0.5862048","1.532768","1.4746521","3.158006","2.991205","2.900996","2.732056","0.9736169","1.976163","2.230883"," 7.217697e-01","1.5623885"," 0.89778791","1.0266620","2.804447","1.7981266","1.3524237","2.033896","1.6114224","1.4330232","3.351827","3.816564"," 0.624490243"," 0.8382108","1.2656429","1.7524040","1.2539156"," 0.808672281","2.579602","3.290061","1.4726686","2.724625","2.214136","1.5062179","3.157982","2.873477","2.909411","4.123313"," 0.480040624","2.723421","2.260034"," 0.905645433","1.3151349"
