"","Sample","Label","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0."
"1","1","C",1.368998," 0.063079061",1.1346943,"-0.0704067796",0.57426,1.38621,0.7726316,0.832449
"2","a","C",1.633601," 0.853138217",1.3323676," 0.3288291449",0.9421803,1.817925,1.1434563,0.7881383
"3","3","C",2.226152," 1.047152853",2.2316966," 0.8057416046",1.5322795,2.150052,1.4641454,1.8286637
"4","4","C",1.561399," 0.810844285",1.1886672," 0.4288076661",0.9665569,1.792001,1.127301,1.2419688
"5","5","C",1.992345," 0.939634538",1.5502295," 0.5180220213",1.3683241,1.923725,1.2382686,1.0631757
"6","6","C",1.479852," 0.371629053",1.0984294,"-0.1374686890",0.9592129,1.490779,0.7794114,1.4802731
"7","b","C",1.756976," 0.751737849",1.3317576," 0.2120300594",1.0477226,1.628102,0.988245,1.4276439
"8","8","C",1.191034," 0.224021902",0.9486668,"-0.2283873797",0.5268124,1.127177,0.4494037,1.0238565
"9","9","C",1.531775," 0.286130707",1.1383441,"-0.0150022306",0.9501109,1.417874,0.7816329,2.2549157
"10","10","C",2.066809," 0.707027336",1.8088232," 0.3652592613",1.2002824,1.822389,1.2304926,1.5290323
"11","12","C",1.628289," 0.155203594",1.1018278," 0.0803786065",1.05798,1.521934,0.9207551,1.2884054
"12","c","C",1.325808," 0.484148413",0.9166554,"-0.1011047145",0.7762363,1.417162,0.7679363,2.0390356
"13","14","C",1.59259," 0.432245401",1.0601666,"-0.0792482557",0.8571142,1.463445,0.7846611,1.2543049
"14","15","C",1.74535," 0.722246111",1.433779," 0.2840006089",1.040423,1.696793,0.9836416,1.3807923
"15","16","C",1.555862," 0.326567919",1.2626782,"-0.0056831942",0.9000241,1.505929,0.8681107,1.7307711
